"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Los Angeles","CA","Los Angeles","06","037",116.7965,117.2519,117.6866,117.7932,117.645,117.826,116.9087,116.4593,115.6935,116.0801,115.4534,116.633,118.6707,119.8015,120.144,120.8784,121.0233,120.8519,121.0839,121.05,122.1697,122.9622,123.0332,124.8495,127.2179,128.5576,129.0911,130.3207,130.776,130.5324,130.1869,130.5224,130.902,130.6972,129.5526,131.4146,133.7395,136.254,138.5903,139.3578,139.276,138.7647,138.5731,138.7812,138.4572,138.8187,138.976,141.0486,144.0754,146.3457,148.6755,149.9723,151.7782,151.9212,151.3795,152.4566,151.9859,151.6513,151.3036,154.3786,156.9579,160.0634,162.8556,165.0288,166.1838,167.8462,167.6691,167.5342,168.4945,169.7388,170.8736,174.99,179.5615,182.7893,186.6689,190.7325,194.4481,195.6692,196.8612,199.0581,200.7942,202.2048,202.827,207.4404,213.2041,217.9699,221.2169,226.0817,230.6233,233.92,235.2094,238.2295,241.5248,243.8791,246.0328,252.7972,262.1995,272.6374,284.2327,290.5911,294.9566,297.9694,300.0651,303.1251,306.7705,306.7024,308.4324,315.8714,323.5372,332.0716,343.1768,349.4101,357.4661,362.9792,365.0297,368.8416,369.2761,369.4654,369.7625,376.6909,381.1317,385.1813,389.2602,390.526,392.282,390.3933,387.9202,387.5482,388.4815,387.3703,388.9057,394.1675,400.2933,402.566,401.9161,401.724,400.9205,396.6985,386.5076,375.1276,367.0383,359.6101,353.3456,350.2568,346.6177,341.1773,340.1082,332.5795,321.6831,308.4502,299.6203,293.7581,288.4534,279.8425,273.2157,269.3591,267.2555,269.3661,274.8524,277.2682,274.2116,276.5988,271.6396,271.5371,270.2591,266.5162,259.9794,261.5434,261.2645,266.2593,265.2019,266.2789,263.2537,264.7244,261.1909,260.4112,259.3828,253.9811,249.6965,250.9226,255.0408,255.6102,257.2593,256.3527,253.1136,249.6813,246.4444,241.9855,245.2714,243.1324,241.1015,244.5223,249.29,250.4603,253.448,256.927,260.7138,261.1771,261.1426,265.3543,267.7991,262.1463,266.0573,275.2141,286.6886,294.5018,305.3569,313.7416,315.84,315.6943,313.9067,315.6205,317.841,318.3355,315.246,323.2252,328.697,333.6009,334.0015,336.5932,338.1791,337.0786,339.6799,335.8289
"Cook","IL","Chicago","17","031",102.1927,104.6005,106.7509,107.802,108.1732,106.1886,104.728,103.8869,102.7228,100.5158,99.2572,102.0672,104.1651,105.7547,106.9124,108.1031,108.8121,109.8531,108.526,106.3006,104.3477,102.9925,102.7353,104.8254,107.6362,110.2133,112.3407,113.9498,115.0257,114.6791,113.064,112.9102,113.3313,113.2616,111.6121,111.0188,112.0455,113.9785,117.0028,118.2228,119.8554,119.9681,118.4512,118.7095,118.6612,114.9774,113.9692,116.3091,119.3255,121.4879,124.7383,127.6099,128.7304,128.383,128.5622,128.8442,128.4819,128.907,127.1554,126.1343,128.9635,132.1433,136.5633,140.5886,142.5583,142.9037,141.6744,140.1862,139.1654,138.8471,137.6031,137.8371,139.6014,143.3656,147.1169,151.4438,152.8377,154.7511,153.0794,152.6366,153.0987,154.1507,152.6718,158.4049,160.3807,162.9456,181.0234,178.8669,171.5461,168.1852,168.3371,168.5204,168.112,166.1964,161.8722,159.7214,163.3421,170.0402,174.9348,178.6487,181.2454,179.4548,178.2459,174.1775,173.2682,171.2532,170.4256,172.4427,177.6104,184.2357,190.0511,193.3324,195.0002,196.1922,195.0361,192.3001,192.6119,187.3662,184.5727,186.8102,189.6562,194.8274,199.6503,200.8204,201.5093,199.3921,195.8127,193.4863,194.6176,192.6377,189.0949,191.4166,199.1715,203.0972,206.1106,206.2623,207.2741,204.1766,198.3383,196.0119,193.5854,191.6963,190.2624,190.684,192.9044,197.7814,201.55,202.3791,201.6508,197.8967,189.8395,183.1159,178.0992,173.8879,174.8978,172.8806,173.0776,173.1398,174.4807,177.7957,178.2257,180.6694,177.1502,173.1475,169.3651,161.1905,158.0177,158.6087,162.7956,168.02,169.982,169.8224,168.1754,162.3038,159.3012,154.1095,154.5533,151.438,147.4209,146.3273,147.5531,150.0162,152.7442,156.9236,156.7004,152.2622,148.5673,143.4528,137.1505,137.2754,132.1773,132.3046,139.5848,145.4079,154.0275,157.0418,157.7017,154.5153,146.7891,142.5841,142.1306,141.3154,136.2954,134.9384,141.5182,150.7415,158.5961,167.9594,169.3299,166.417,164.88,161.8924,159.0189,158.0074,157.6844,157.5083,162.1784,170.0285,176.657,175.1929,174.5669,175.4595,174.1748,169.1971
"Maricopa","AZ","Phoenix","04","013",66.7996,66.646,66.8373,67.004,67.4801,68.1649,68.4017,68.9202,69.0572,69.3174,69.1526,69.309,69.7429,70.3349,70.574,70.563,70.7363,71.2706,72.0322,72.0178,72.1667,72.6097,72.9408,73.2525,73.5741,74.0774,74.5546,74.6222,74.9176,75.2856,75.8253,76.1803,76.3048,76.701,76.8746,77.2335,77.7479,78.3897,79.0433,79.1455,79.5288,80.062,80.5147,80.7247,80.8125,81.1413,81.7349,82.3143,83.0204,83.5412,83.8585,83.9011,83.8789,83.9557,84.387,84.6962,84.2251,84.6869,85.5421,86.4107,86.7475,86.7061,87.1663,87.5114,87.4661,87.237,87.3531,87.6401,87.9983,88.3128,88.7668,89.1177,89.9452,90.6585,91.0068,91.5156,91.7135,91.9076,92.2592,92.2466,92.6183,92.8534,91.905,91.1171,91.5448,92.6608,94.6158,96.0225,96.8871,96.9278,96.9568,97.2995,97.4787,97.4018,98.1069,99.1986,100.3211,101.6478,102.9513,103.9751,105.4085,107.3577,109.6723,112.1867,114.1817,116.4429,119.0802,123.1922,128.729,135.3,142.2554,148.1102,152.9883,156.8869,159.3192,160.7231,160.0375,160.7614,162.4246,164.2612,165.7562,167.3714,167.8904,167.5281,165.9175,162.842,161.8272,161.6184,160.5826,159.6737,159.1482,159.8421,160.7298,160.7529,159.4893,158.5956,156.9541,153.1851,149.9354,147.3022,144.6712,143.0898,140.8038,139.2936,137.3725,135.9266,134.0648,131.2257,128.2312,123.3785,121.552,118.5965,114.8875,110.9298,107.8592,105.9067,103.6876,102.5348,101.8126,100.1506,97.8615,95.8394,94.653,94.3272,93.228,91.5796,91.4784,92.347,92.7045,92.1182,90.8191,89.4349,88.2581,87.3695,87.2927,86.4556,86.4618,85.2512,84.4722,84.1816,83.7814,83.2492,89.1283,88.2584,86.999,86.4212,86.6344,87.165,86.6359,87.6199,88.0868,90.2973,93.5588,96.6355,99.0251,99.9626,98.8874,100.0384,101.0042,101.3703,101.9389,103.3698,104.4442,107.0073,110.1334,112.785,114.5722,116.0367,116.3946,116.1121,116.3252,117.0107,118.0088,118.1341,118.7168,119.8307,120.1958,120.6501,120.8626,120.7863,120.5317,120.6004,120.6987,120.4086
"San Diego","CA","San Diego","06","073",105.3936,105.4557,105.9738,105.1401,105.4073,105.8086,105.9773,105.3158,104.4772,104.1602,104.5506,106.4856,107.221,107.7495,107.4224,108.9346,110.0213,109.8048,110.2919,110.8993,112.0595,112.5012,112.3204,113.645,115.9986,117.1438,117.9806,119.5586,121.1672,121.6726,121.1871,121.4775,121.9186,124.3789,124.4617,125.1947,126.5185,127.4866,129.6092,131.8359,133.3281,133.916,133.4247,135.1075,135.6144,136.5923,138.5964,140.8442,143.1171,146.0707,148.7012,151.6276,153.3967,155.7695,157.2979,157.2702,158.1924,158.6025,160.1852,162.8857,165.795,166.5329,169.9263,172.0401,174.0644,174.6146,174.5607,174.8018,175.6389,176.2669,179.3296,182.9429,186.2003,190.7051,195.5952,200.6753,203.1273,205.8183,209.7776,211.8693,211.8964,212.0443,214.5362,218.1278,222.2251,225.2768,228.6324,233.3922,238.712,242.2432,245.382,248.264,249.6778,252.7199,257.4226,264.372,275.2671,287.4734,298.188,303.3684,306.0376,308.7013,311.6704,310.8562,311.3218,312.9629,314.0504,317.3944,322.3482,324.2025,328.7225,331.8659,333.5781,333.3465,331.8543,327.9544,325.1948,328.3272,332.4912,332.8156,336.0515,337.6226,335.7582,333.818,331.8761,327.0393,323.643,316.2704,312.7012,313.1143,315.2926,317.2828,320.1722,321.1007,319.5979,318.146,317.6367,311.2742,304.3287,299.7241,290.1427,284.553,277.224,274.2424,271.7967,270.2914,267.5757,266.7054,264.0747,256.3415,248.6275,240.4983,231.395,222.611,218.2098,214.3961,215.5205,219.3422,222.8686,225.5055,226.4764,227.0019,227.0313,224.5414,222.8635,219.3049,220.2683,228.1497,230.002,233.6994,233.9463,233.7645,231.1803,230.1693,227.5672,226.4851,222.1211,217.5798,215.3092,217.269,217.9561,221.1959,221.4624,220.527,217.5049,214.014,208.8257,208.0316,207.2016,209.7152,208.6755,208.8892,213.4918,220.8446,220.2622,221.1954,221.3745,223.681,224.1187,225.4028,229.1653,230.0275,233.0306,239.2755,248.679,255.3767,262.7259,266.3698,269.9874,272.0943,271.7237,270.8197,272.3784,276.2085,276.1942,276.1353,276.942,279.4249,284.6123,286.9032,286.4626,286.9121,287.2038,287.252
"Orange","CA","Los Angeles","06","059",121.3253,122.445,123.0072,123.6004,123.3134,123.8507,123.477,123.3312,122.7413,123.0465,122.6491,123.2067,124.2568,125.6559,126.0691,126.5491,127.328,128.4789,129.6691,129.7065,129.2311,130.7051,132.4838,135.7044,137.4985,139.4887,142.4636,145.6047,146.3277,147.3163,146.8726,146.6723,146.7454,146.6664,147.2202,149.7888,151.8749,154.4945,156.758,158.0793,158.8231,158.7435,158.0475,158.8929,159.6325,161.0286,161.3771,164.247,167.6821,170.7587,171.7572,172.8628,174.689,177.0373,178.1552,178.567,177.1886,177.4764,179.7892,183.1904,186.218,188.6199,191.4991,192.8662,196.2433,197.4133,197.5567,197.4362,197.3923,199.2035,202.4068,205.5785,209.3004,213.8583,218.0826,222.9555,227.9938,230.8239,232.8902,234.6349,235.3228,236.6212,238.0499,242.4159,248.3299,252.7218,256.8018,262.1098,268.0199,273.5932,279.1089,283.5882,288.3706,294.7508,302.0983,312.2034,324.7117,338.0767,349.8605,357.0189,358.4775,354.5423,352.0052,352.0583,353.0296,355.2696,359.5021,364.998,374.3589,383.0736,392.2879,399.4273,405.4534,410.2639,413.2045,416.5489,417.0025,421.076,422.2433,422.9016,424.6668,426.2154,426.8044,424.5025,422.977,421.2289,418.5526,409.9338,402.9794,405.7896,404.413,404.275,404.4546,405.2071,403.9505,401.3467,396.3916,386.8289,380.041,371.3768,361.2326,351.1196,341.7,340.1271,335.0146,328.9565,324.5671,318.4669,314.0593,310.3043,306.637,298.7236,291.1965,288.5283,286.8432,284.9339,280.8968,284.2719,286.3193,288.0381,285.532,294.2135,293.7955,294.4967,292.6387,290.5688,289.2456,291.8864,295.8513,300.0128,299.1399,296.7848,297.4799,294.9462,290.7144,289.3138,288.2121,288.1689,285.5314,283.9183,283.5814,282.5672,279.4086,279.5836,279.8554,277.1499,275.7759,273.8063,269.2535,266.3378,268.0228,270.9094,277.2833,278.372,282.6406,284.5419,288.461,289.3551,291.1059,296.0024,299.1255,298.39,301.5525,309.4287,319.2708,327.2499,333.1486,338.1109,344.2716,349.7945,349.5,347.8183,346.664,339.7332,342.6197,350.3955,358.1934,360.9131,361.7247,366.3502,363.4383,361.5765,363.7844,363.5212
"Kings","NY","New York","36","047",119.4948,116.5452,113.6973,115.7625,119.8415,122.2452,119.9721,113.3544,113.6609,118.4476,113.2637,112.0831,114.2073,116.7737,123.6819,122.3162,123.4474,123.3522,125.0334,124.9542,119.29,116.1695,120.119,123.4373,122.1034,127.5661,126.5536,128.5752,129.4535,136.9975,132.9227,130.8995,125.6499,124.1398,126.0831,131.6988,132.7437,132.6647,133.8066,136.2715,134.2246,133.4611,139.7273,145.7131,146.79,146.7132,143.1107,143.9618,142.0022,144.8228,150.5323,158.7767,158.0534,161.1145,164.0286,161.1852,159.0847,161.6104,159.7423,168.748,171.503,,,,,,,182.926829268293,,,,,,,,,,,,,,,,,,182.845744680851,207.4501,214.2683,214.9387,220.0412,239.7059,250.0994,256.0914,259.5106,244.9247,241.9183,239.6427,242.566,259.65,263.6545,270.1378,262.7626,257.7152,256.5618,265.1054,268.3765,273.1,278.4674,281.3367,278.3307,290.3317,303.8157,307.7203,304.5402,303.9098,298.4246,309.8928,312.2017,321.3703,328.9507,332.1852,324.3138,326.0031,325.7845,324.754,329.6976,324.7785,332.4331,333.3857,338.7677,339.5212,342.6327,337.5166,335.3913,343.8645,354.833,350.4549,362.1123,366.6647,359.7762,346.1511,337.3476,335.2286,346.6817,348.2485,345.3868,338.0429,348.4918,361.3379,351.7596,337.4376,315.7088,322.5348,328.2319,335.1705,325.6449,320.7558,333.0543,335.0041,328.5374,323.2743,327.7718,334.1459,340.4496,332.0947,334.0343,341.1907,351.2482,341.2052,339.9022,330.6064,320.9078,320.6575,324.307,328.6427,326.4994,322.7908,335.9684,328.143,340.5707,346.7965,324.5111,318.4228,332.7582,351.8738,347.6998,334.2174,323.8747,318.9413,333.229,317.214,329.6602,312.8373,342.6148,345.2275,352.0157,343.3931,356.8859,358.7182,344.5014,328.1112,347.4524,354.4621,361.2396,353.506,349.2426,349.4291,336.7169,364.7587,364.4964,359.6536,356.3878,360.3366,379.7253,369.5836,373.5977,368.2329,384.9048,398.1895,404.6739,404.6951,381.815,369.5905,377.1156
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",68.5042,68.2761,68.3265,68.8074,69.2192,69.1698,69.3747,69.4484,68.9999,67.284,67.0722,67.9324,68.9236,69.9269,70.294,70.0336,70.261,70.3429,70.7798,70.9815,71.7885,71.1625,71.1337,72.0814,72.6439,73.2298,73.4011,73.6766,73.3344,73.3207,72.8731,73.1205,73.0049,73.0097,72.9302,74.2281,74.9257,75.6909,75.8788,76.5468,77.5007,77.0043,76.4271,76.3219,76.93,76.8091,77.3733,78.5759,80.2883,80.8747,80.9604,81.5865,81.4905,81.6959,81.5817,81.8425,82.3684,81.4888,82.2828,81.7057,83.0891,84.9122,86.3944,87.3928,88.2041,88.4396,88.7631,89.7009,90.695,91.1451,91.901,92.8084,93.7919,94.7602,96.2803,97.72,98.731,99.4048,101.3032,102.7299,104.7066,104.7379,104.5168,106.3238,107.7695,109.7466,112.459,114.3883,116.1856,117.6445,118.0035,118.5221,119.3952,120.9772,121.9251,123.4502,126.3338,130.146,132.0938,134.3116,136.1869,138.6363,139.993,144.0486,147.3523,148.5831,150.9221,156.6681,160.5314,164.7128,168.5207,171.1465,174.0701,179.9145,182.9368,184.1137,184.8595,184.812,188.9018,193.6914,197.8848,201.1381,203.2072,203.6064,203.2591,202.6111,203.2403,205.3043,207.3248,207.1554,207.4798,209.7496,210.5504,213.1248,214.2672,213.2833,210.1754,209.1556,205.5165,202.2701,200.0526,196.577,194.3006,192.9362,186.0561,181.2973,181.1815,180.5829,172.2616,166.1957,160.5177,157.1641,149.9487,143.1518,136.5414,137.0025,131.3938,125.7564,126.7701,129.439,129.694,131.183,127.7124,124.8752,124.7331,118.9692,117.4209,116.5875,116.0812,115.8127,116.659,114.8527,115.3408,113.5566,115.7671,113.2979,111.1877,108.6006,107.1627,107.0649,107.9607,109.6137,113.0219,113.3735,110.095,107.9597,105.7818,104.7658,104.8471,105.7479,104.9345,106.0567,106.793,109.7789,112.0119,112.7848,112.4707,113.08,113.6388,117.6565,119.455,119.7383,118.9416,120.5601,122.3017,126.5463,130.7125,132.5362,131.8751,131.1386,130.4245,131.6607,133.7495,133.3349,134.5524,140.7396,143.7872,150.5577,151.3913,153.891,153.0405,153.9527,153.2373,152.9964
"Dallas","TX","Dallas-Fort Worth","48","113",,,,,,,,,53.2218358831711,53.3951,54.1501,54.781,55.3354,55.6875,55.6981,56.108,56.2694,56.2118,56.0908,56.1982,55.986,55.8144,56.0899,56.7544,57.2188,57.6734,58.131,58.7285,59.116,58.963,59.3751,59.5739,59.3981,60.2867,61.2285,61.9814,62.5088,63.3918,64.1203,64.5449,64.6303,64.9457,64.7145,65.1908,65.3879,63.8289,62.921,63.3896,64.9002,65.7695,66.3324,66.9347,67.7353,67.8752,68.1166,67.46,67.9469,66.5207,66.3863,67.4113,68.4204,69.1987,69.7563,70.2184,70.0499,70.0591,69.6005,69.7687,70.1037,70.2665,70.582,71.191,72.0365,72.926,73.1824,73.6141,73.2837,73.175,72.8758,72.4839,72.651,72.3348,72.4529,72.7613,73.3247,74.8894,75.6752,75.6878,75.7639,75.4845,74.4792,73.5172,72.444,74.2173,76.1688,77.8927,79.1822,79.9364,80.4515,80.9033,80.5452,79.5995,78.7116,78.5469,78.806,78.485,78.4953,79.9585,80.7964,82.0895,82.5964,82.2241,81.3703,81.1825,80.7755,80.719,80.8995,80.2778,80.4288,81.4202,82.7339,84.4234,84.479,85.0594,83.9296,82.7771,82.3046,82.4723,82.4809,81.3554,81.6531,82.8421,85.439,88.1781,89.0925,89.5577,89.324,87.4854,87.2294,87.2986,86.5207,81.8729,79.998,80.986,82.8364,84.8067,86.064,85.1449,83.699,80.7302,77.9817,75.7441,73.9326,73.1805,73.9069,73.8627,74.4574,77.6156,79.8002,80.3929,78.032,77.2232,77.5008,77.8149,76.363,73.0537,71.9931,74.164,75.641,75.4225,75.458,75.4677,72.2627,71.3867,72.1424,70.3907,72.986,71.4856,73.7275,73.5739,72.5366,72.4897,74.3316,74.215,73.0246,70.8932,67.7095,66.3268,67.5981,66.2808,66.2544,69.4369,72.8779,77.5574,79.3123,79.1258,77.3277,75.6112,74.3706,73.6263,75.043,73.0993,72.8877,76.3688,80.5545,84.5914,86.7911,86.9225,86.4624,84.8621,82.8838,82.2762,83.3827,81.7764,83.3901,85.2895,88.1803,90.2378,91.5978,91.603,91.0768,89.7774,89.4812,88.7748
"Queens","NY","New York","36","081",115.5749,116.5222,116.8966,113.8486,100.4318,,100.4863,,104.4809,113.8255,117.7732,119.4809,121.2752,117.9337,117.8765,118.5819,120.7176,123.6661,121.8599,123.4267,123.9319,123.5057,125.5043,124.9785,124.3465,122.1721,124.497,126.7946,127.4765,129.6908,131.2742,133.1619,134.6642,135.1042,136.72,138.2444,138.3779,134.8441,135.8209,139.4893,142.8987,145.8123,148.6501,148.8058,149.1837,147.5477,146.34,146.2941,147.6009,144.7857,146.8761,152.4911,158.8847,159.8506,158.5885,159.6793,161.6057,166.4783,167.0148,166.9479,170.4097,,,,,192.876344086022,,,,,,,,,,,,,,,,,,,,230.837004405286,230.2498,229.832,234.6015,234.8846,228.2582,230.8681,240.2206,246.9119,255.0833,252.355,252.25,250.6606,247.8954,251.4963,261.9539,270.0467,269.1728,273.704,273.7069,276.7751,280.9393,289.6906,288.6381,291.2991,301.8385,309.2358,312.738,321.2626,324.6658,328.8623,332.2385,331.4486,329.2058,332.4663,334.4342,334.993,343.4382,348.8359,353.8082,353.4455,354.929,356.1401,358.0592,353.9531,353.238,352.6875,363.2207,359.2391,362.7965,357.0548,362.247,366.4536,365.2194,362.9528,364.0959,359.7404,351.1945,348.8744,343.4892,349.4656,348.3385,337.8862,334.1671,337.2705,336.6759,330.4803,327.2636,321.9061,320.8962,316.3908,313.8486,310.2904,309.2487,317.3422,322.1742,331.7128,329.8753,329.6963,315.8042,311.0034,311.4084,314.401,319.098,309.1285,305.9457,309.5115,302.6154,315.0348,317.8011,312.906,301.3738,298.7725,306.3534,311.1585,342.1451,330.4958,339.8066,361.9452,363.2498,364.5569,360.435,349.6264,336.9076,339.2857,332.3963,330.8787,338.0207,343.4916,342.2675,368.0571,375.4366,312.3437,316.4376,321.1484,313.7343,311.8487,311.2738,313.2241,325.5052,327.3038,326.9244,324.6291,332.2674,335.2557,337.7118,336.074,334.918,344.7758,346.9249,346.615,338.4852,336.5072,343.9928,351.6549,355.0177,353.7055,360.2809,359.7463
"Riverside","CA","Riverside","06","065",71.8406,71.9535,72.466,72.0602,71.7923,72.2111,72.0009,72.0819,71.8189,70.3964,71.2034,71.247,70.3955,70.6243,70.6125,71.1423,72.0709,72.8264,73.2193,74.0315,74.0914,73.5923,74.271,74.7953,75.4022,76.4368,77.2094,78.0973,78.6519,78.8703,78.1471,79.3361,79.8512,80.3874,80.3273,81.2164,82.5569,83.8448,85.2464,86.1025,87.151,87.6913,88.1342,88.2308,88.1482,88.2765,88.9695,90.6764,91.5291,93.4038,93.4798,94.4246,95.346,96.4429,97.0401,97.7138,98.2633,97.9286,98.9519,99.876,100.9362,101.4594,102.7086,103.556,103.9499,104.3195,103.9817,104.0006,104.4957,104.8941,105.6791,107.5918,109.6679,111.7735,113.5436,115.0742,117.0541,117.7417,119.3896,120.3408,121.1036,122.2175,123.9909,127.0288,129.15,131.7466,134.2391,135.5702,138.7811,140.8339,143.297,144.653,145.741,148.4112,152.6956,156.6613,162.7151,168.8233,173.9891,178.8262,183.2538,185.1867,188.0469,188.4625,188.6502,191.8759,195.4734,200.3833,202.9402,206.4777,208.7334,211.0847,214.558,217.6683,219.6985,221.6237,220.3291,218.0778,218.0314,219.0022,222.8089,224.83,224.2282,224.7238,224.8159,221.7112,220.5933,217.8428,213.3389,212.8086,214.6228,210.933,211.9767,211.8733,209.8817,206.4072,202.1246,194.4393,184.9862,178.073,171.2291,165.2624,162.6391,158.3232,156.5044,152.9396,149.3593,144.6446,141.3595,134.5204,130.2668,127.1997,124.5231,120.4299,118.7646,114.1262,112.9254,111.5053,110.9051,110.2616,109.9538,108.0699,108.7587,108.8334,109.2947,108.6207,108.2582,109.6258,110.328,111.3945,110.3579,109.9795,110.205,110.7468,110.8199,111.8318,112.4963,111.3164,109.2604,109.8964,109.5189,110.1694,109.8036,108.484,107.2947,107.9332,106.6925,106.7148,105.4899,104.9609,105.0007,107.5052,108.4809,109.952,110.5307,111.5864,112.7288,114.112,114.5281,114.8882,116.9529,118.8805,120.7843,124.3855,129.2176,133.9589,139.2152,142.3624,144.5746,146.4083,146.3272,147.5641,149.0459,149.4696,150.8496,153.6146,155.2556,155.7302,157.436,158.0032,159.2606,158.8088,158.2791,159.4771
"San Bernardino","CA","Riverside","06","071",70.045,70.4544,71.0505,71.1882,71.625,71.5935,72.3385,72.4787,71.216,70.2593,69.8478,69.6408,69.4344,69.8033,70.8922,71.4514,72.0778,71.359,72.2289,72.9601,72.727,71.6993,71.9637,72.0768,72.2176,73.5822,74.4157,74.7674,73.5683,73.1131,74.52,76.6487,76.7504,76.2367,76.5789,77.0632,77.2585,79.024,80.5465,80.8749,80.4883,79.8983,79.7222,81.1037,81.4072,81.5967,81.4858,82.1714,83.3112,84.3161,85.6263,86.8597,88.1869,89.0875,89.896,90.2599,90.9027,89.0967,88.8356,92.0697,93.8742,94.6217,95.4524,96.4366,97.4211,98.1807,98.0721,98.0529,99.5777,99.3807,100.0824,100.6355,101.7243,102.6774,104.3072,105.4293,106.4135,109.5266,111.7168,113.054,113.86,114.4435,115.3755,118.133,121.358,122.8743,125.3468,127.3727,130.2609,131.3884,132.4374,134.0071,135.7659,136.9103,138.7822,141.7585,147.7377,152.7165,158.2128,164.6238,170.1403,173.9373,175.8808,177.3345,179.225,182.6345,184.6237,189.4906,195.7625,199.9103,204.1833,207.7738,213.3795,217.027,220.3307,221.438,219.2664,220.0035,221.2764,224.8784,227.2432,228.9022,229.9107,230.7913,232.8271,232.1796,230.5676,230.7274,227.1997,226.7353,227.3395,226.9957,227.0045,224.4017,221.9161,221.7512,217.9825,209.4959,200.1828,196.1826,184.525,179.6185,175.2448,172.587,172.6562,168.1119,161.8351,161.8014,160.8501,158.956,157.3056,150.4617,143.3078,134.8406,131.294,129.1227,126.9142,125.1027,126.5976,126.8151,121.7146,121.261,121.5842,121.1284,120.6214,118.4255,115.302,116.703,117.6596,117.8043,117.5977,117.0721,117.0109,117.3136,116.4281,116.405,115.0883,114.4837,113.742,113.0009,111.7975,109.752,108.3139,109.3812,109.5435,108.7444,108.6313,109.3464,107.9294,110.4755,108.7653,109.1466,109.9496,113.28,114.9012,116.6344,118.391,116.0041,114.216,117.4501,119.9459,120.3947,119.5994,121.9464,123.5573,129.099,132.8463,134.3684,137.7003,145.3043,145.3894,141.737,145.797,148.9692,148.6204,150.8439,153.2445,156.4841,158.6555,162.1802,161.7519,161.3023,160.7489,161.1996
