"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",71.0355,71.8636,72.8841,73.1505,73.5216,73.2929,73.131,73.0739,72.6809,71.6682,70.6788,70.8406,71.6879,72.5589,73.5795,74.2211,74.8701,74.9974,75.4687,75.6896,75.548,75.0064,74.6572,75.1486,75.9783,77.0577,78.1638,78.8776,79.2543,79.2991,79.2345,79.1574,78.8769,78.7747,78.5728,78.9085,79.7245,80.7217,81.976,82.8723,83.257,83.5805,83.776,83.7468,83.3996,83.2055,83.2002,83.895,84.7551,85.6496,86.9326,87.5066,88.273,88.9053,89.0938,89.3496,89.3624,88.6273,87.8287,88.0824,88.6673,89.4281,91.0281,92.1221,92.9969,93.0971,92.7261,92.4837,92.5602,92.9388,93.2453,94.2977,95.2732,96.3369,97.3927,98.393,99.1867,99.5899,100.0759,100.3198,100.5155,100.5907,100.1046,100.4541,101.39,102.8323,104.5081,105.973,107.5976,108.5462,109.0809,109.9303,110.731,110.7011,110.0815,110.7869,112.4819,114.074,115.8575,117.3242,117.762,118.7283,119.9659,121.0524,122.4453,123.708,124.595,126.6809,129.2015,131.0643,133.0702,134.4666,135.9417,138.0673,138.9469,139.6687,139.9481,139.2759,138.4747,139.491,140.521,140.7549,141.0629,140.1558,139.4533,139.1713,138.6443,138.415,138.098,136.3339,134.8291,135.1085,135.2492,134.459,134.2495,133.5193,133.0273,131.0428,128.2802,126.6332,125.5472,124.2088,121.093,119.8738,120.0229,120.4564,121.2543,120.6227,119.6449,117.9122,116.374,114.1176,112.0798,109.5246,106.5179,105.5516,105.483,106.016,108.0505,108.7396,109.1274,111.976,110.6853,109.3572,108.9785,107.995,105.9459,105.5431,105.7743,107.444,108.8785,110.0284,109.807,108.538,107.2575,106.0064,105.3305,103.321,101.7105,100.6912,100.8966,101.9906,103.7753,104.204,103.4081,101.7836,100.1806,99.355,97.9469,95.5134,93.8434,94.9878,97.618,100.4292,103.2138,104.9388,105.398,104.7206,103.7726,104.0124,104.3358,102.0272,101.0024,103.1229,106.3948,110.0035,113.6289,115.9509,116.9563,116.439,116.3593,116.2336,116.2499,115.6556,114.901,115.741,117.9997,120.6279,123.0389,124.1728,124.2517,122.8563,121.8512,122.2842
"New York, NY",99.673,98.7447,99.5765,100.3608,101.0405,101.4538,101.5281,100.1346,100.4828,101.3854,102.1743,102.7859,103.0533,103.6599,104.7832,106.6387,108.2601,108.1554,107.1182,106.8525,106.7721,107.0674,107.3677,107.5861,108.4113,108.9153,111.5988,114.0856,116.4678,116.6081,116.2685,115.5951,113.8701,113.5082,114.9963,114.1403,114.9028,115.7573,117.0989,119.0787,120.9637,122.2521,123.0275,124.0271,124.4299,123.9334,122.4132,123.6044,126.6447,129.4914,130.1195,131.7882,134.1684,134.5134,134.9729,135.2484,134.5775,135.2695,136.0744,136.4495,134.7582,134.87,137.9067,141.9267,145.2118,148.7772,150.6511,148.4192,147.9662,146.4086,147.7369,148.8089,150.5537,153.9487,158.2609,162.9581,167.1325,169.8611,170.5152,170.4399,171.5942,172.2177,171.5939,172.0778,174.1587,176.0053,179.1856,183.5524,189.8175,194.0232,193.9973,194.0068,195.9831,199.4243,200.7391,202.1643,204.9598,210.5365,213.2378,219.8678,226.5256,230.3109,229.6755,230.2908,229.6283,231.8424,234.0892,239.9211,241.1729,242.7363,246.3907,249.544,253.4052,254.6356,254.5668,253.9294,252.9455,254.7665,258.0326,262.4594,262.9413,264.8376,265.3333,268.5481,270.4996,269.6065,265.8424,261.2998,257.2936,257.14,258.9598,260.5177,263.6832,268.3668,271.4508,271.1007,270.0614,267.3871,263.4513,260.3902,256.914,256.1029,259.1576,257.939,255.9197,255.7872,254.2005,255.2273,257.1842,253.8864,249.3646,247.7923,243.7647,242.3108,239.3312,234.4274,230.2759,228.7206,230.7399,232.3525,232.7744,237.0243,236.0164,233.985,236.5552,238.8557,241.0523,240.2772,237.1935,236.7124,236.8775,240.1297,241.6597,239.6581,235.5711,234.4697,231.1999,228.924,229.718,229.1252,230.8938,230.3119,230.2628,233.7741,233.7281,230.7781,227.3584,221.4781,215.0015,212.1263,214.4316,215.8652,212.4835,214.3594,218.6803,221.5261,221.8508,219.6197,218.2015,215.1094,211.8959,210.6139,210.0462,210.7528,210.33,214.9517,219.4506,224.1496,229.9182,232.3388,230.5984,226.6896,225.4595,228.5267,228.5596,226.654,227.0041,230.5284,230.5612,230.275,234.6069,235.6502,235.5094,231.2207
"Los Angeles, CA",115.8638,116.5901,117.2249,117.3209,117.1665,117.2072,116.6231,116.2131,115.3437,115.2708,115.0995,115.9848,117.6073,118.6932,119.3878,120.1968,120.5701,120.713,121.2767,121.6307,122.1132,123.1378,123.8373,126.3836,128.6017,130.3036,132.0801,134.1991,134.3877,134.3767,134.0441,134.0756,134.1315,134.2306,133.3804,135.3434,137.5781,139.7545,142.0284,142.7049,142.7992,142.3703,141.7573,142.6461,142.3251,142.6709,143.7903,146.5079,149.4481,151.4452,153.5352,154.0314,156.0294,156.7594,157.1136,158.2216,157.8916,157.9922,158.375,161.3847,163.7323,166.3259,168.9391,170.7041,172.0646,173.8917,173.5065,173.6031,174.5836,175.8738,177.6713,181.7565,186.5428,190.3783,194.6004,198.6096,202.4034,204.2442,205.5796,207.6642,208.995,210.1748,212.1281,216.9164,222.6112,227.8157,231.7977,236.8822,242.2272,245.7452,247.3667,251.2503,254.0725,257.5431,261.8609,271.679,282.8867,293.9157,303.8602,308.1371,309.4924,310.1447,310.5944,312.1197,314.5174,315.0218,319.7196,328.037,336.4438,345.3645,354.7382,361.1199,368.1508,372.7533,374.3288,377.8962,377.7227,378.8658,380.8149,385.6731,389.0494,391.9869,393.7572,393.0071,392.3621,390.5858,387.7469,385.3309,384.8692,384.2243,385.0781,389.4965,394.6257,396.7128,396.4593,397.3544,395.8685,391.1367,382.3535,373.4559,365.1498,355.4599,347.8479,344.8424,341.9929,336.6255,333.5852,326.6835,318.7964,310.2088,304.58,296.856,289.2899,283.0717,277.8191,276.3657,273.4199,276.7423,281.0302,282.7504,280.6822,284.0812,282.3325,281.7059,280.0972,276.429,271.2369,272.9288,272.7754,275.9553,274.706,275.2061,274.3152,274.327,271.4907,268.4138,266.7303,262.9466,259.2775,259.6939,261.3351,261.8403,262.3777,261.239,260.0486,257.149,252.8879,248.9415,249.6983,246.4518,246.1101,250.5081,254.818,255.3522,258.911,263.3363,264.8379,266.1085,266.6241,270.6803,272.487,270.2974,273.5528,283.5059,295.8921,305.6104,313.7632,319.8367,322.0192,323.8247,323.1108,322.97,323.1611,318.4317,321.1032,330.1383,336.3346,339.1428,339.438,341.4632,340.9324,339.849,341.8489,340.5609
"Chicago, IL",96.3071,98.3006,100.6858,101.5192,101.5554,100.2283,99.7392,99.9407,98.9128,97.0774,95.417,96.2818,97.5613,99.086,100.5237,101.3381,102.083,102.2161,101.0723,100.7251,99.8365,98.9886,97.8958,98.7349,100.4735,101.6105,103.5318,104.7448,105.5789,105.4656,104.8543,104.6272,104.6566,104.786,104.404,104.0231,104.7831,106.3156,108.5363,109.939,110.7851,111.3444,110.981,110.7973,110.7129,108.8038,108.4381,109.3187,111.3289,113.1843,115.7906,117.9008,119.2975,119.1376,118.6768,119.0743,119.4979,119.6014,117.8884,117.3403,119.022,120.8996,123.5288,126.8277,128.291,129.1266,129.3422,128.1345,127.1041,126.6394,125.1343,125.2668,127.3778,130.4739,133.5118,136.719,138.3681,139.0262,138.4405,137.2609,137.6103,137.899,137.2444,138.7653,138.5989,140.7649,147.1745,149.2202,148.7547,148.9571,148.9365,149.1681,149.9303,148.825,145.6041,142.7232,144.1858,147.7326,151.4929,154.9273,157,156.3941,155.8244,154.8046,155.0935,154.1488,152.1872,152.0892,154.4151,157.9077,160.7448,163.6036,164.5631,165.7628,164.2942,164.4427,164.9381,163.4808,162.6246,163.1975,164.2995,166.8165,168.4105,168.6564,170.0422,170.1108,168.8991,167.3678,166.4947,166.1789,163.4369,164.0086,167.0078,168.574,171.6113,171.5757,171.4025,170.1045,167.2132,163.2786,162.6955,162.106,159.8224,159.9074,161.6465,162.6897,161.9993,163.0861,162.2841,160.5449,157.3214,152.709,148.7204,145.5852,140.4844,140.508,142.2422,142.9699,144.0717,145.5597,146.7965,146.5486,145.4308,136.8874,133.6601,133.993,133.8503,132.6105,133.2493,134.2627,135.8495,139.2084,139.9506,135.7652,132.9937,128.9396,127.9843,124.8921,120.5731,118.0617,117.083,116.6105,118.7229,122.0887,124.4699,121.319,117.0578,112.6491,110.138,106.645,103.7195,108.2428,113.3108,118.0529,124.3576,127.1303,127.4558,124.8175,119.6505,116.1051,112.6858,108.5417,104.9355,107.4016,115.0445,123.1035,128.9591,134.5274,136.4363,134.3208,134.5499,134.8078,134.8192,133.5622,133.0106,132.5685,135.5694,139.0969,141.8343,142.4215,143.9498,145.5419,143.3291,143.3392
"Dallas-Fort Worth, TX",57.3344,57.7255,58.5779,58.7026,58.7505,58.1296,58.4287,58.3209,56.527,55.4246,55.547,56.2801,57.1244,57.4024,57.3404,57.6814,57.8014,57.8084,57.6631,57.7317,57.6921,57.2147,57.3191,57.7052,58.4603,59.3751,60.0448,60.4695,60.7622,60.7282,61.1222,61.3796,61.5387,62.2593,63.0298,63.7246,63.8913,64.7685,65.5059,65.9094,65.9324,65.996,65.8511,66.1382,66.5586,65.1816,64.6777,65.1593,66.4954,66.819,67.5325,68.1557,68.7201,68.8734,69.0041,68.9822,69.2457,68.1754,68.3322,69.2482,70.2614,70.7275,71.3695,71.664,71.5223,71.2048,70.7265,70.9734,71.3876,71.1978,71.5712,72.1103,72.5955,73.1773,73.4175,73.6702,73.4587,73.1868,72.9246,72.8565,72.9285,72.4267,72.8959,73.4167,73.8098,74.5245,75.0265,75.2979,75.1352,74.8056,73.959,73.6167,73.2248,74.2517,75.552,76.6259,77.7644,78.6301,79.359,79.2942,79.0544,78.5695,78.1119,77.9218,78.04,77.7387,78.0741,78.8496,79.4383,80.2918,80.9875,81.2571,80.9868,80.5086,80.5519,80.4818,80.6097,80.2678,80.5299,80.9829,81.6922,82.8732,83.894,84.3257,84.0064,83.1776,82.8608,82.9362,83.4965,82.7103,82.3963,83.3378,84.9643,86.5895,87.7546,88.2476,88.3314,87.6015,87.1775,86.8897,86.2452,82.8937,80.8718,81.287,82.4554,83.7547,84.5326,84.4388,84.0181,82.54,81.4157,79.9179,79.2373,78.5252,79.0305,78.5125,78.6304,79.7558,81.0356,80.7134,79.9604,79.7409,79.2817,79.4398,78.886,77.0525,76.7721,77.7471,78.9189,79.1906,79.7678,79.5186,79.2632,78.5625,78.4705,77.742,77.7605,76.8635,76.889,76.8365,76.5827,77.0413,78.4404,78.6145,78.0902,76.9915,75.6706,74.6832,74.9515,74.0199,73.626,75.2422,78.1098,80.5138,81.8647,81.908,81.727,81.5415,81.4316,81.5783,82.336,81.024,80.9734,82.8813,85.6263,87.7596,88.9095,89.5203,89.758,89.2103,88.241,88.2713,88.6832,87.3832,87.9234,89.4667,91.5076,92.866,94.3252,94.8782,94.9697,94.2561,93.2271,92.5564
"Philadelphia, PA",68.5,70.122,71.426,72.0646,72.8428,72.7916,72.4922,72.8103,72.5828,71.0339,68.3144,68.2165,70.2896,72.458,73.9273,74.6571,75.3071,75.3006,74.6638,74.1822,72.1193,67.2575,67.9833,70.1403,72.0509,72.9911,74.1525,75.8544,77.2594,77.6695,78.0124,77.0345,76.4247,75.3008,74.8807,74.8788,75.2406,76.1473,77.1645,78.7186,79.6133,80.7508,80.3843,79.6985,79.4719,78.5198,77.7514,77.0653,78.1092,79.3053,80.58,82.1071,83.2497,83.8389,82.6249,82.721,82.3389,80.9128,78.7672,79.1699,80.9231,82.3693,84.4575,87.7464,89.5418,90.6807,89.2638,88.3887,88.6213,88.9657,89.2539,89.1069,89.7329,91.2412,93.3255,95.5981,97.7097,99.391,99.9491,99.2289,99.1622,99.1418,99.002,99.2474,101.3893,102.281,105.2381,108.2663,111.5279,112.7268,112.4872,111.8119,112.6325,112.3806,111.8318,111.2836,112.8806,116.4686,120.2451,123.7803,126.0608,125.954,125.464,124.2722,124.7519,125.2207,125.8564,127.0283,128.8142,131.1781,134.5347,138.009,140.717,142.1248,142.6928,141.8702,140.9943,139.1987,138.2206,139.2273,141.3247,143.456,146.3009,149.2666,151.2421,149.8831,147.9479,145.86,144.7037,143.1953,142.1309,143.6127,145.527,148.662,151.3119,153.0936,153.9756,151.9055,149.1679,148.3765,146.5897,144.3739,141.2015,141.896,142.7037,144.4574,146.2273,148.3905,148.5122,146.0394,143.3952,141.7336,139.1025,135.4022,131.8117,131.7021,133.1289,134.8533,137.4697,139.4104,140.7082,141.5631,139.4722,138.2707,137.2955,134.07,133.1361,133.4945,135.3518,137.3305,140.2475,140.1895,138.9504,137.5975,135.2391,133.3246,131.55,130.2744,127.2151,125.9705,126.8459,128.2108,131.17,133.4229,134.1388,132.2212,128.7352,126.27,124.794,122.6122,120.3122,120.0082,120.8861,123.8245,125.6767,128.6809,130.0487,128.8779,126.6287,126.7859,126.5012,125.4755,123.4867,123.7157,125.5202,128.6198,132.5123,135.9806,136.9936,135.0535,133.1802,130.9118,129.5709,126.6507,124.6795,125.8891,128.095,131.0716,135.1935,138.4178,139.836,137.5674,134.8447,134.0831
"Washington, DC",96.8902,97.3522,98.2052,98.7301,99.0456,98.3287,97.7649,96.4868,95.3743,95.9927,97.5929,98.0578,97.9227,98.1053,98.4991,99.5148,100.3504,99.8202,98.7255,99.2329,99.2165,98.2619,97.6342,97.4244,98.4272,100.215,101.0307,102.3881,102.548,101.366,100.8803,100.361,100.4733,100.2288,99.675,100.5443,101.7835,102.6485,103.4404,106.2262,106.2984,105.6546,104.2088,103.7833,104.7473,104.8638,104.2975,104.2896,105.5578,108.2349,109.9276,113.0483,113.6153,112.6966,112.2525,112.7526,113.5772,112.7446,111.3328,112.754,115.4405,117.6089,118.0606,121.6854,123.7674,122.7743,121.3253,121.0572,123.6293,124.3472,124.6833,127.0001,128.6008,131.1841,132.6943,137.5247,140.2075,140.0834,140.3084,140.8601,142.1097,141.8527,142.8459,143.9274,147.119,149.8373,154.1154,157.8424,161.4162,162.6648,162.2724,163.2013,166.8484,168.4139,166.1173,166.9522,173.9944,182.1246,188.2772,194.7778,198.3023,199.6847,198.4115,201.607,205.5873,208.2292,209.1324,214.4444,221.916,230.7342,237.0142,245.0866,250.3584,248.1698,245.2613,243.1596,243.3776,240.5311,239.4542,240.8642,247.5788,251.6801,254.2371,255.2751,254.9262,250.9851,248.5858,247.9636,246.0164,244.274,243.3896,246.6459,248.7509,250.5383,251.8157,254.3081,253.1955,245.1552,237.7509,233.1917,232.1438,229.9921,228.7715,225.7257,225.4851,226.2237,225.3074,224.5495,219.9783,212.6198,205.8898,202.1637,197.3194,193.1796,187.9735,189.3511,191.1563,190.9908,195.682,197.8868,197.5213,205.3876,199.7187,200.1979,199.6594,197.2176,194.9724,197.3787,202.4669,208.149,209.5938,210.9895,211.3031,207.3392,204.7628,202.4718,208.3727,202.7056,196.9968,197.1202,200.0011,205.7316,204.3096,208.2366,206.501,203.8821,194.4834,191.0847,188.4865,187.0957,186.7571,197.2288,204.3365,211.3179,212.9002,215.3966,213.0305,205.2619,201.2105,201.2364,199.4672,197.8424,195.7991,198.6307,205.833,216.5461,222.8569,229.5168,228.4679,222.024,219.6003,219.7079,220.6667,216.8463,216.694,218.8559,225.8687,232.8262,234.1555,234.8973,230.8614,225.7188,224.3461,223.1171
"Miami-Fort Lauderdale, FL",66.2176,66.5985,66.9989,67.4052,67.5361,67.786,67.7006,67.9969,68.1569,67.1177,66.2762,65.4973,65.8803,66.4394,67.3094,68.1034,68.3138,68.3555,68.4455,68.8196,68.9522,68.9977,69.3434,69.5324,69.6249,69.8841,70.7317,70.9615,71.0189,71.3635,71.6214,71.3729,71.3396,71.4642,71.405,71.6868,72.0551,72.3752,72.9976,73.9683,74.1926,74.2669,74.2413,74.1416,74.2964,74.7166,75.2267,75.5709,76.2733,77.3131,77.9957,78.5993,79.0976,79.4954,79.5384,79.83,80.2549,80.7104,81.023,80.8849,81.8549,83.4547,85.3229,86.8299,87.836,88.5466,88.9446,89.4289,89.8353,91.0216,91.835,93.0112,94.2413,95.6044,97.2115,98.6708,100.0426,101.2683,102.7101,104.1399,105.3874,105.8765,106.4574,107.4526,108.6718,110.0892,112.1875,114.4643,116.5047,118.3721,119.5032,120.5316,121.4684,123.1813,124.3243,126.3595,129.2297,133.353,137.1793,139.0429,141.1921,143.7392,145.4465,147.9789,151.2708,154.2467,157.6019,162.4125,168.0513,172.4276,177.3327,181.3253,185.3902,189.4317,192.5931,195.3089,197.2196,200.4496,203.6908,205.6033,206.3617,206.5645,205.3837,205.8204,205.362,204.7601,204.6772,205.0308,206.458,206.105,205.4156,204.6492,203.6403,203.0279,202.8609,200.7128,197.8315,194.8205,191.0963,187.1789,183.9329,182.9205,181.2044,175.5921,168.1301,161.3919,158.7249,157.3036,154.1852,148.9257,143.9085,139.0807,135.178,128.7719,123.3613,118.6653,115.0457,114.0072,116.26,118.2772,117.1214,121.101,119.9584,120.6441,120.2682,107.526,104.5951,103.8491,102.0937,103.1283,104.1464,104.8924,102.487,100.745,98.9221,104.1817,102.0757,98.896,99.3583,97.2397,98.2398,100.0718,102.2275,102.4042,101.1249,98.2862,96.3565,96.7518,96.9869,95.1395,94.3565,95.2551,96.2428,99.4536,103.2684,105.0312,105.8063,106.5542,106.2197,107.7147,111.6869,110.0355,106.7701,108.0612,112.0179,117.4381,121.6062,124.0185,126.5052,127.6966,127.7275,127.9099,129.5584,129.1984,130.2046,132.9453,134.2758,137.9039,141.1608,143.3478,143.0319,141.8175,142.1731,143.0815
"Atlanta, GA",60.298,60.4,60.8483,61.1081,61.323,61.8555,61.8043,62.3641,62.3816,62.6355,62.5097,62.9713,63.3433,63.8801,64.1378,64.52,64.9365,65.1212,65.2184,65.2821,65.5878,65.4074,65.1996,65.6966,66.3032,67.0783,67.2637,67.8159,68.0451,68.2489,68.3381,68.2566,68.4293,68.8674,69.061,69.6689,70.2372,71.0125,71.8731,72.6567,73.0771,73.4042,73.3236,73.3468,74.0288,74.3582,74.8128,75.0146,75.7829,76.2983,77.206,77.8641,78.2089,78.6998,78.8524,79.1421,79.5075,79.5791,79.4479,80.0818,80.7023,81.4752,82.2839,82.7566,83.0333,83.1504,82.9462,82.6144,83.2665,82.9863,83.269,83.8402,84.4349,85.0391,85.5429,86.1051,86.1072,85.5632,85.7376,86.1201,86.374,86.1239,86.0785,85.9266,86.6803,87.2902,88.2752,88.6405,89.3375,89.2291,88.5248,88.5724,88.3774,88.1392,88.0753,88.7944,89.7476,90.6144,91.261,91.6999,91.8794,92.0311,92.0665,91.809,92.3132,92.0582,92.38,92.458,93.1762,94.3224,94.4624,95.0749,95.3634,95.4005,94.8405,94.5179,94.5489,94.2899,94.9642,95.7312,97.0252,97.9854,98.6044,99.0063,99.0336,98.6025,98.6025,97.5061,96.2135,94.8486,95.0276,97.7566,99.4015,101.0995,101.7326,101.7493,100.8874,99.4091,98.1806,98.0432,97.8485,96.4683,95.8819,97.0833,97.7565,97.9436,98.0666,97.1277,95.6607,92.9348,97.2852,92.9237,89.0295,85.1415,83.2366,84.9258,83.9113,85.5131,88.7363,89.1045,88.4229,86.4268,85.3071,84.651,84.5199,83.6435,80.8857,78.0938,79.9646,82.223,81.6125,79.539,77.5938,75.3374,73.7798,72.1138,70.9966,72.2205,70.4214,65.2882,65.0688,66.2548,67.448,69.675,75.9906,77.5574,76.8945,73.9807,72.0514,70.323,67.9235,71.1397,73.2704,75.2374,77.3736,79.5102,79.3493,77.5661,77.2879,77.993,78.9688,77.9671,77.8812,81.3023,85.5456,88.5537,92.6863,95.7396,97.2488,95.1922,92.7743,91.6451,91.823,90.927,91.0586,93.5876,95.8194,98.9791,102.1084,103.1588,100.9181,97.9148,95.7823,93.9481
"Boston, MA",95.791,98.3045,100.8584,102.5085,103.9788,102.7369,100.7377,98.8483,97.9856,98.9142,98.5282,99.5078,100.6958,103.155,105.9533,107.0597,108.2674,108.3885,106.3381,105.5381,105.5795,106.6785,105.724,105.9509,107.7292,110.4633,113.9775,115.7488,118.35,117.7071,115.8466,114.9297,115.2477,116.6263,115.7094,115.8881,118.0693,121.1901,125.7757,130.9339,133.3038,132.9723,130.3997,129.3162,130.7624,129.3875,127.5924,130.1138,133.1293,137.5823,143.469,146.5076,148.5929,149.6788,148.9092,150.2795,150.1816,152.0608,152.7591,153.7846,156.1125,160.9725,168.1503,172.8886,176.3648,175.3243,172.9825,170.9279,170.4247,171.8715,171.801,174.1238,177.6777,184.2359,191.6972,195.9689,199.8544,201.0716,197.9718,196.7376,197.0529,199.1161,198.0949,194.1643,196.0606,201.1017,207.7708,212.429,216.5174,215.6286,212.1269,210.3148,213.1931,212.2151,210.8787,211.1751,217.5972,224.3776,229.8037,234.9953,237.4513,237.4203,234.0585,231.5138,229.9042,230.2343,226.9358,230.5872,234.1556,239.994,247.1107,251.0856,252.762,250.9,246.6623,245.1949,242.7901,238.094,234.6221,238.7153,243.7525,245.6,248.8572,248.9974,250.0473,244.804,238.4276,235.5144,234.2119,234.5243,234.7493,236.0374,237.5154,241.3478,245.7212,247.7043,247.5519,241.7841,234.8073,231.8046,227.4144,225.4915,221.7039,221.8966,223.0974,226.5758,230.441,229.3665,230.7656,223.7854,213.5619,205.424,200.0411,196.5964,194.2432,192.2253,194.3199,199.4532,209.0583,214.502,216.1121,217.0377,211.9471,209.8192,209.8031,207.6334,201.356,201.2347,206.7636,215.8046,225.3655,230.394,229.2849,222.4808,214.8461,210.0178,211.3451,208.1171,202.4189,200.8698,203.8977,210.1308,219.1392,221.2518,219.9172,214.0416,203.4429,200.6229,197.5298,193.2583,187.8511,191.9017,198.4896,208.553,218.4403,221.0968,219.1591,213.3334,207.4576,206.7416,206.2097,201.8852,198.1188,200.5222,208.1012,217.2421,228.1751,231.5818,232.494,227.0437,223.1567,221.024,221.3123,220.3937,216.8937,219.2683,224.7696,232.8406,239.6266,241.5566,240.9246,230.6283,213.0399,188.7341
"San Francisco, CA",148.6504,150.138,150.7291,151.4548,151.311,151.8007,151.9278,151.4433,150.3637,149.2306,148.6401,150.3305,156.4723,159.3501,159.6646,161.1335,161.6645,161.9001,162.0995,164.9303,165.5909,166.2675,165.263,165.6718,168.9944,171.8899,174.3316,175.8097,175.3665,176.102,176.5686,177.6634,178.5296,178.3037,180.0554,182.9953,185.8384,189.1203,193.167,197.0032,197.2466,197.2347,198.3978,200.9813,202.4043,204.585,207.2527,212.8046,221.3075,228.7864,233.7184,237.4287,240.8616,241.1947,244.2292,247.6071,248.0614,250.1613,254.7152,260.8156,263.5098,264.3244,266.8097,266.4497,264.2319,260.7081,255.3255,254.8904,255.082,255.7577,259.5979,266.2823,275.6837,282.9042,288.5607,291.8842,293.0757,292.3717,289.216,288.6149,291.433,286.863,285.2699,291.1316,299.225,303.6288,304.0727,307.2279,308.8717,310.3481,311.4996,312.1256,313.0344,314.7982,317.5699,323.5673,333.5039,344.1232,351.1559,355.8207,356.8765,355.9318,359.0403,366.7511,368.5871,371.4417,377.8705,387.7289,401.5201,413.196,424.8005,427.8416,430.1732,431.451,432.2963,433.8098,431.1102,428.5116,430.092,434.7024,442.7304,449.139,452.6941,454.9288,450.0245,446.2282,440.8369,440.0964,432.855,427.939,431.8079,437.1196,448.9848,458.0867,459.2621,460.9111,454.8573,449.2589,446.5978,448.1249,427.7847,422.0719,427.5726,426.87,427.6592,429.4417,420.8865,416.1917,403.9949,388.3738,371.4212,356.2196,340.723,321.7694,311.4805,307.7166,314.1951,320.0091,331.1867,330.3433,329.4097,329.4946,327.3984,325.904,321.9164,305.7641,297.5814,303.4911,308.0872,319.7222,320.5901,322.7163,320.5876,315.2176,308.733,308.4349,302.7086,286.8924,281.3901,290.9248,293.3541,298.7681,303.926,301.4441,297.4797,293.0054,284.6838,282.2912,299.8334,271.6839,268.8439,282.1587,295.3362,305.6468,315.6577,316.4094,314.4125,309.8975,309.8364,311.0903,314.0011,310.6393,312.2318,326.6764,354.3071,378.344,390.7824,393.7475,388.9419,382.8833,385.6105,390.1016,384.4024,381.0977,383.4023,396.4292,415.2556,424.8639,429.8482,427.3745,425.0571,423.3469,423.7321,417.5943
