"RegionName","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",98.3806,98.3278,98.2933,98.3863,98.4777,98.5317,98.5196,98.46,98.397,98.2741,98.0921,98.0066,97.9276,97.8471,97.848,97.9109,97.9786,98.0602,97.9521,97.9021,97.849,97.7833,97.6639,97.4786,97.3115,97.2325,97.3322,97.4106,97.4979,97.5482,97.6101,97.5495,97.4755,97.3603,97.2769,97.1056,96.7791,96.5094,96.5546,96.735,96.8707,97.0351,97.1183,97.1272,97.0033,96.7937,96.5917,96.3715,96.2093,96.082,96.2027,96.3827,96.5652,96.7071,96.7401,96.6961,96.5451,96.3625,96.2094,96.0346,95.6883,95.3445,95.0764,95.0839,95.2616,95.5352,95.6301,95.6376,95.6854,95.6914,95.6782,95.6428,95.2333,94.8174,94.7877,95.0218,95.4248,95.6727,95.818,95.8184,95.7328,95.562,95.3144,95.1166,94.9166,94.7538,94.9176,95.1549,95.3851,95.7473,95.8932,95.849,95.7137,95.5477,95.3302,95.0732,94.4763,94.2192,94.1933,94.3161,94.4522,94.5704,94.5869,94.3974,94.0686,93.5764,93.075,92.4206,91.4708,91.1506,91.4369,91.9169,92.1298,92.311,92.2632,91.9789,91.3808,90.6573,89.9866,89.1564,87.5761,86.1963,85.7876,85.6364,85.6069,85.6509,85.5683,85.1709,84.2024,82.9884,81.3999,79.8783,77.3838,75.6932,75.3562,75.5264,76.089,76.8643,77.4609,77.7976,77.7627,77.6153,77.8364,76.6928,74.0529,72.5642,72.7452,74.0173,75.2324,75.9564,74.8991,73.5838,72.685,72.3126,72.1011,70.8621,69.1391,68.121,68.2762,69.2944,70.3574,71.0951,71.5986,71.6014,66.8232,65.9248,65.258,64.4957,63.2073,61.7932,61.467,62.7398,64.3007,65.1417,65.3703,65.1256,65.0057,64.6275,64.564,64.5426,64.2521,63.8921,64.7606,66.2446,68.0874,69.7164,71.1202,72.0855,72.7349,72.9898,73.3425,73.3141,72.7903,72.9862,74.083,75.5074,76.7088,77.6213,78.2892,78.6615,78.6308,78.5112,78.5409
"New York, NY",98.7658,98.6226,98.6228,98.6946,98.8434,98.8833,98.8833,98.9446,98.6935,98.7108,96.96,97.4742,98.003,98.4424,98.3309,98.3736,98.3802,98.5073,98.4868,98.5192,98.5266,98.5037,98.3349,98.3344,98.1986,98.1207,98.1453,98.1423,98.1591,98.1456,98.2157,98.2021,98.1262,98.0564,98.0749,97.9628,97.8189,97.5963,97.4767,97.4249,97.5981,97.8608,98.088,98.1522,98.2771,98.2778,98.0014,97.6588,97.5057,97.2627,97.2677,97.3247,97.5304,97.5713,97.6798,97.7938,97.8559,97.7064,97.6542,97.5221,97.0872,96.7405,96.6623,96.7476,96.8632,97.2078,97.4405,97.2388,97.2026,97.2024,97.1969,97.3109,94.4395,92.2455,91.4031,92.0002,92.5574,93.2522,93.9971,94.463,94.2918,93.8796,93.4333,92.682,92.0885,91.9555,91.9314,92.1765,92.3068,93.0329,93.6689,93.7368,93.198,92.8438,92.6173,92.1092,91.202,90.647,90.5694,91.0432,91.6148,91.9427,92.7314,93.2155,92.8085,91.9787,91.2885,91.2189,90.929,91.4162,92.268,93.8437,94.7763,95.3656,94.816,94.4159,93.6561,93.4328,93.1609,92.3952,91.3657,91.348,90.6745,90.0004,89.5154,89.5305,89.4621,89.5026,88.8205,87.5225,86.4976,85.791,84.5025,82.3405,80.8409,80.32,80.5609,80.8817,81.4715,81.9961,82.3858,82.3568,82.2794,81.6604,81.1862,80.543,79.5548,79.1057,79.208,80.0796,81.0345,80.483,80.1449,79.8643,80.2242,80.2454,79.4741,78.5106,77.5796,77.7998,78.1831,78.8083,79.9768,80.541,77.3307,76.4491,75.6739,74.7289,74.0917,73.1625,72.5414,75.2112,75.5513,75.7789,75.8364,76.1148,76.4284,75.8967,76.2151,76.115,75.9571,75.0433,75.4014,75.803,77.1071,77.5201,77.8655,78.7143,79.3488,79.5222,79.3327,79.8096,80.0416,80.0879,79.7031,79.6999,80.3963,80.3637,80.2683,80.7753,81.1139,81.7372,81.4619
"Los Angeles, CA",98.4631,98.3848,98.6112,98.7909,98.9478,99.0899,99.1178,99.0941,99.0967,98.9892,98.9019,98.7882,98.7744,98.865,98.825,98.7913,98.8874,98.9361,98.9492,98.8451,98.8272,98.7749,98.7465,98.4331,98.401,98.4044,98.6594,98.7797,98.8052,98.8644,98.9617,98.99,99.0943,99.0758,99.0021,98.9053,98.8551,98.7487,98.7505,98.8687,98.9956,99.0547,99.035,99.0383,99.0515,98.9284,98.8329,98.8357,98.7543,98.7219,98.7653,98.8671,98.9651,99.005,99.0239,98.9957,98.9416,98.9774,98.9815,98.8998,98.872,98.9467,99,99.0374,99.118,99.1619,99.1733,99.1937,99.2346,99.1389,99.132,99.1734,99.1758,99.153,99.0454,99.115,99.2247,99.2933,99.2653,99.2633,99.3002,99.2216,99.2306,99.2606,99.2729,99.1843,99.1644,99.2155,99.2588,99.3051,99.3406,99.3875,99.4318,99.3696,99.2475,99.1663,97.9263,96.8585,95.8825,95.1042,95.4912,97.1973,98.2289,98.4534,98.4012,98.2803,98.0244,97.8724,97.6318,97.3449,97.3348,97.1238,96.9023,96.5866,96.3167,95.971,95.6497,94.9457,94.3489,93.6589,92.5093,91.0825,89.8876,89.247,88.1966,87.3393,86.455,86.0388,84.7534,83.135,82.1511,81.035,78.9374,77.5022,78.0803,77.4846,77.8214,79.0522,80.2558,80.2301,80.6366,79.6715,79.511,78.9631,77.2809,75.9198,75.5972,75.526,76.5113,76.66,76.9147,76.2923,77.1664,77.8953,77.7596,77.2707,75.2043,73.7893,73.4666,74.9333,75.0909,75.2412,76.3124,76.3161,70.197,68.911,68.2002,67.0269,66.1741,65.6142,65.8913,67.5238,68.8293,70.0173,70.7315,71.1386,71.2877,71.2647,71.9312,72.4929,73.2044,74.3407,76.1431,78.3305,80.1159,82.0976,83.278,84.4288,85.1592,85.8892,85.9735,85.7065,86.0356,86.3601,86.9374,87.7612,88.4086,88.5084,88.9405,89.2096,89.3965,89.4345,89.7825
"Chicago, IL",99.4702,99.3542,99.2379,99.2682,99.2885,99.3258,99.2279,99.1847,99.2025,99.1348,99.0807,98.9791,98.7777,98.7581,98.6758,98.6148,98.4792,98.6851,98.872,98.9823,98.8701,98.7515,98.6877,98.5504,98.5176,98.5605,98.4376,98.3569,98.4421,98.5407,98.6585,98.6937,98.7056,98.4816,98.3131,98.3024,98.217,97.9874,97.9218,97.9948,98.2897,98.4607,98.5436,98.5457,98.4034,98.3181,98.2321,98.084,97.8757,97.6031,97.496,97.5529,97.8186,98.071,98.2682,98.2949,98.1195,98.1102,98.028,97.9436,97.8579,97.4009,97.2043,97.2711,97.4134,97.72,97.7566,97.8549,97.8453,97.887,97.6919,97.5479,97.409,97.2632,97.2027,97.3957,97.6404,97.8028,97.9147,97.9245,97.9073,97.8583,97.7028,97.6181,97.5217,97.3448,97.3356,97.4082,97.7191,97.8625,97.8726,97.8842,97.8753,97.7531,97.4858,97.1748,97.2883,97.2713,97.1305,97.2017,97.3361,97.4393,97.3688,97.3195,97.1536,96.8667,96.6694,96.4237,96.0006,95.3584,95.0654,94.8925,94.8644,94.9332,94.9511,94.714,93.9492,93.0367,91.6989,90.1842,88.6511,86.6012,84.9939,84.5972,84.0362,83.9416,84.0053,83.0693,81.574,79.9211,76.8213,74.7817,71.2756,68.2294,66.6479,66.2576,66.4848,67.4139,68.7865,69.8812,69.2786,68.9468,68.7617,68.4957,65.4221,62.2651,60.9091,62.5907,64.7742,66.9004,66.821,65.1623,63.5805,62.5168,62.5437,61.5208,58.6037,55.6984,54.0041,55.3279,56.6132,57.8429,59.6354,59.8275,56.0565,55.6459,54.7969,54.4834,53.2083,52.0018,50.6468,50.7187,51.6323,52.5316,53.3461,53.071,52.6249,50.896,50.9187,51.3053,52.4901,51.0921,49.8675,50.7859,53.4008,55.6565,57.4918,58.2899,58.763,59.2264,59.5955,60.0145,58.8008,58.927,58.8545,59.4604,60.7082,62.7777,63.7313,64.7007,65.9092,65.9214,65.2659
"Dallas-Fort Worth, TX",98.1687,97.8962,97.8565,97.8004,97.8033,97.7015,97.5995,97.3979,97.3544,97.2507,97.0126,97.0907,97.0209,97.071,96.7649,96.6277,96.6664,96.2943,95.9331,95.7441,95.8193,95.7401,95.4398,95.5838,94.7741,94.3098,94.2295,93.9336,93.6801,93.3502,93.4146,93.3161,93.223,92.9856,93.3066,93.2599,92.7827,92.273,92.4974,92.6293,92.2627,92.4679,92.4669,92.5029,92.4475,92.2165,91.9496,91.3684,90.8344,90.4326,90.9931,91.4079,91.6744,91.7463,91.6652,91.5114,91.0957,90.8161,90.9039,90.8008,90.5086,90.3702,90.5715,90.5867,90.2151,90.0208,89.8681,89.5686,89.0715,89.6333,89.4044,89.6691,91.3286,92.583,93.0961,92.9825,93.0871,93.1233,93.1872,92.9355,92.8123,92.9056,92.7474,92.3652,92.4241,92.461,92.7561,92.7087,92.9226,92.8573,92.4482,92.2916,92.1546,92.243,91.9418,92.0443,92.5808,92.6028,92.4821,92.2483,92.5529,92.6425,92.6549,92.6049,92.5626,92.4523,92.2855,92.0757,91.8505,91.3956,91.4637,91.62,91.8639,92.1264,92.2536,92.4425,92.1416,91.7601,91.1908,90.7252,88.6251,86.5404,85.9296,85.4705,85.4002,84.6896,84.1384,83.9858,84.3949,83.5706,82.1962,81.0802,80.8884,79.3005,77.4716,76.4376,76.4393,76.7046,76.6249,76.9043,77.4513,78.3353,78.9534,78.5614,76.4809,75.7285,76.0846,76.2425,76.2709,77.8935,77.161,75.6086,73.9183,74.1381,73.9283,73.5664,73.0147,72.0788,72.1885,73.4668,74.1764,72.837,73.276,74.8878,70.1308,69.9156,69.9243,70.1643,68.7429,67.5589,66.9939,68.9801,70.9816,71.0439,71.6232,71.088,72.211,72.9343,74.0319,75.044,73.8048,74.609,74.8463,75.9389,77.0948,78.5882,79.278,79.649,80.0321,79.6843,81.0914,81.8136,81.867,81.4584,82.6427,83.3433,83.9807,84.3331,85.0638,85.4707,85.5207,83.8088,81.1202
"Philadelphia, PA",98.2252,97.84,97.4007,97.518,97.6999,98.0097,98.1465,97.8501,97.7074,97.7771,97.8243,97.9241,97.7077,97.2275,97.2226,97.0231,97.2548,97.6086,97.9075,97.8225,97.4467,96.9503,96.3998,96.4321,96.4213,96.2456,95.8308,95.7578,95.7242,95.5081,96.2667,96.7777,96.8214,96.5122,96.5134,96.3549,95.4555,94.4096,94.4718,95.431,95.8654,96.1742,96.7999,96.9696,96.897,96.4311,96.0839,96.0926,95.9469,95.3822,95.1653,95.4148,95.7833,95.9731,95.9054,96.1535,96.4069,96.4654,96.3547,96.1717,95.6888,95.1656,94.8085,94.8192,95.1869,95.7354,96.0614,96.0468,96.0378,95.937,95.227,95.1291,93.2764,91.4715,90.3461,90.2447,91.0317,91.9922,92.7892,92.8578,92.5794,91.5584,90.7461,90.3947,89.8269,89.1327,88.5667,88.9087,89.4725,90.7258,91.4852,91.5519,91.1915,90.9736,90.5236,90.2917,89.0073,87.8514,87.7774,88.5565,89.0709,89.4129,89.7944,89.9737,90.092,89.2742,88.3645,88.0317,88.2881,88.7672,89.9659,91.1294,91.6612,92.5242,92.9227,92.9336,92.814,92.73,93.0495,92.301,90.7819,89.0754,88.215,88.366,89,90.5375,90.8002,91.6176,91.7863,91.464,90.2325,88.9979,86.8394,85.6315,85.336,86.4388,87.2661,87.0967,87.1866,87.9054,88.0039,87.9669,88.4077,87.9329,85.736,84.3905,84.4433,85.255,86.2666,86.5728,85.9781,84.8729,84.1539,83.6485,83.5848,81.8775,81.3537,80.1716,79.991,79.8517,80.7579,81.4958,81.0823,81.3574,76.0506,75.1124,74.021,71.8697,67.5261,65.1408,64.1526,65.912,67.0637,66.5788,67.3132,67.0609,66.1756,65.3439,65.9633,67.3289,67.325,65.4644,64.7012,66.2953,67.6218,68.7895,69.8474,71.0547,72.2244,73.4704,73.8762,73.5593,72.7297,72.4446,73.126,74.4176,75.6177,76.5535,77.2335,77.4355,77.1125,77.3323,77.7576
"Washington, DC",98.0412,97.9709,97.7565,97.9491,98.1677,98.2877,98.4438,98.4155,98.2676,98.0917,98.0961,98.0506,97.4198,97.1294,97.299,97.5964,97.6645,97.754,98.1085,98.1617,97.9019,97.3784,97.2942,97.2781,97.2432,97.2236,97.3283,97.4727,97.7401,97.6334,97.9275,97.9087,97.6236,97.6466,97.6804,97.5612,97.3683,96.9829,97.2443,97.7646,97.9046,97.8471,98.1856,98.3315,98.2772,98.1296,97.9618,98.061,97.9823,97.7353,97.8668,97.9493,98.1094,98.1556,98.2764,98.4205,98.3016,98.1331,98.0735,97.9952,97.7449,97.7787,97.6659,97.7427,97.8126,97.9264,98.0488,98.2005,98.2559,98.1201,97.9776,97.9291,97.3865,96.8432,96.8466,97.0131,97.3697,97.6391,97.8139,97.7753,97.8271,97.7407,97.6378,97.64,97.3751,97.0921,97.2302,97.399,97.6942,97.8086,97.9744,97.9431,97.7237,97.4363,97.1416,97.1469,96.672,96.3626,96.5153,96.6053,96.9333,97.1213,97.315,97.4351,97.1897,96.4503,95.4486,95.3128,95.1894,94.9385,94.6886,94.5186,94.3475,94.5438,94.6112,94.3465,93.9328,92.7131,92.1659,91.3487,90.0588,87.4968,85.9457,84.7259,83.9546,84.1265,84.8445,84.3859,83.1289,81.3713,78.4288,76.6899,75.8532,72.3311,71.0141,71.4148,73.0497,75.4709,75.6436,76.4391,75.6855,74.8811,75.4153,75.6562,72.9451,70.885,70.207,71.7615,73.7065,73.4762,74.2385,76.4795,75.9893,74.3343,73.1149,74.25,72.5268,70.3569,69.6876,70.4184,71.7065,74.9934,75.3793,74.4971,72.8085,72.9299,72.4933,72.3316,70.6337,68.665,68.8532,69.6276,70.691,70.5515,70.5945,68.817,68.056,66.0647,65.8577,65.6284,64.3262,62.8867,64.4911,66.7011,70.2056,73.8594,78.1046,80.4651,80.726,80.5867,80.6589,80.997,80.2902,79.9621,79.8587,80.3403,81.9848,82.5969,83.289,83.059,82.2251,82.004,82.1475
"Miami-Fort Lauderdale, FL",97.7244,97.4564,97.4823,97.6048,97.8081,97.7211,97.5317,97.291,97.068,96.8262,96.3668,96.2874,96.2333,95.9675,95.9336,95.9199,95.9094,95.7442,95.947,95.6053,95.2473,95.3274,95.3983,95.1039,94.6605,94.335,94.5808,94.6783,94.7591,94.8454,94.8467,94.9304,95.0836,95.1573,94.9598,94.9003,94.1428,94.1156,93.7451,94.0855,94.6686,95.1263,95.1965,95.5339,95.4928,95.5791,95.3902,95.3981,95.46,95.613,95.9585,96.1912,96.2855,96.3156,96.1805,96.0986,96.1095,96.1677,96.2606,95.7318,94.8101,94.6207,95.0182,95.3306,95.3449,95.3129,95.5202,95.6394,95.6942,95.7173,95.5484,95.7935,95.7601,95.4933,95.6717,96.017,96.423,96.4821,96.5509,96.5616,96.5944,96.6002,96.1115,96.1114,95.95,95.6962,95.8636,96.1355,96.1687,96.2838,96.1977,96.1557,96.149,96.0948,96.1559,95.907,95.6355,95.4571,95.7598,96.0219,96.1827,95.9825,95.9014,95.7603,95.4786,95.3421,95.1406,94.7033,94.2649,93.5306,93.2623,93.3842,92.9371,92.2949,91.6155,91.0084,89.8961,88.8345,87.9208,86.0465,84.1951,82.1015,80.6278,79.2882,77.0626,75.4677,74.0777,69.5222,66.604,62.6659,59.884,58.1559,53.2116,49.2762,48.4188,48.9639,49.4065,49.2903,49.9258,50.5661,51.0385,50.9781,54.3119,54.2637,50.9856,49.4999,50.7156,51.8656,52.6641,53.7559,54.5304,53.2748,51.5836,50.2094,51.414,54.7387,54.719,53.3886,52.5258,53.9475,56.5811,56.809,56.7318,55.3769,53.4887,51.9726,51.8759,52.1263,51.1299,50.5413,51.8483,54.172,56.1092,56.19,56.4129,56.603,56.3868,56.7,58.6356,59.7886,60.2152,60.9042,61.9394,64.0674,65.3535,66.3317,67.2628,68.3646,70.4916,71.4612,72.989,72.2347,72.1477,72.5409,75.0186,76.5112,77.3525,77.8679,78.1215,78.7209,78.8384,80.084,80.8362
"Atlanta, GA",99.0258,98.9904,99.0722,99.0999,99.0933,99.0357,99.083,99.0971,98.9899,98.6598,98.5622,98.6323,98.6222,98.5486,98.6756,98.7917,98.8946,98.8754,98.7609,98.6805,98.6658,98.5929,98.5203,98.5096,98.4826,98.3548,98.3191,98.3182,98.3896,98.469,98.4631,98.4089,98.3032,98.3943,98.4224,98.2713,98.1778,98.1814,98.2162,98.2634,98.334,98.3479,98.3506,98.426,98.407,98.0707,97.6511,97.5014,97.545,97.3018,97.0612,97.1039,97.1753,97.2825,97.3887,97.2161,97.0678,97.062,96.7797,96.5105,96.0303,95.4727,94.9082,94.5972,94.3556,94.4638,94.4558,94.4759,94.5279,94.7896,94.423,94.1927,94.3499,94.6624,94.597,94.8193,94.8176,94.7878,94.9738,95.0742,94.8055,94.5475,94.4276,94.3467,94.2846,94.4307,94.2639,94.4234,94.3424,94.4329,94.5193,94.7649,94.5524,94.2719,93.795,93.6422,92.5896,90.6785,89.8239,89.9893,89.9499,90.2455,90.5532,90.793,90.3828,89.4984,88.4379,84.5681,79.318,77.7065,81.6421,85.0544,86.264,85.7263,85.522,84.4927,82.4381,80.6939,79.789,78.1335,75.7936,71.5817,69.999,70.2183,69.8121,70.6184,69.784,68.7418,65.6761,65.9157,62.1459,60.6499,57.3989,55.0658,54.9976,54.6188,54.6418,55.0812,56.3496,57.6257,58.1852,57.8176,57.7375,57.6219,57.6467,57.8838,56.4325,57.0369,57.7527,58.7513,59.3273,58.0108,57.7124,59.6564,60.0908,57.5656,56.2742,56.3881,55.9307,56.9983,58.3579,58.3016,58.8419,58.3852,45.1578,44.7382,44.7526,45.8772,44.6285,43.8583,43.9946,46.3868,46.2559,45.584,45.1497,45.5443,45.3557,45.579,44.8294,45.9659,48.3046,49.3763,49.5925,51.3885,53.2178,55.3892,57.4513,59.2736,60.7087,61.2778,61.1578,62.4847,62.903,62.7386,62.7432,64.0558,66.123,68.1856,68.548,68.5498,68.696,68.6117,68.5524
"Boston, MA",97.1815,96.9538,96.6272,96.9023,97.332,97.9077,98.0245,97.6982,97.3852,97.0745,96.7832,96.6193,96.4796,95.9486,95.7821,96.3991,96.9387,97.5257,97.6316,97.5386,97.4322,97.1469,96.9963,96.7211,96.0726,96.0258,96.4038,97.0027,97.1038,97.4038,97.6081,97.532,97.4852,97.3441,97.3204,96.9145,96.4863,96.2946,96.5378,96.5115,96.6512,96.9958,97.3001,97.5548,97.211,96.4706,95.8267,95.6463,95.7581,95.8733,96.1941,96.4508,96.9174,97.2285,97.189,96.8723,96.8105,96.1717,95.805,94.5134,92.0582,88.5312,78.9942,78.2429,79.3498,81.939,83.1391,83.8378,84.1993,82.4812,83.5034,84.712,80.7073,74.9188,72.0973,73.28,77.1148,79.378,80.3671,80.3932,78.5629,76.9065,75.1305,74.4918,72.7326,70.201,70.554,72.5299,75.6981,83.8862,89.0856,90.7437,89.8738,88.6833,87.1206,86.2848,83.3618,82.3979,76.8058,73.4626,73.0444,75.4173,76.1391,75.1373,72.9405,69.9337,68.1328,66.7285,63.6612,62.7104,63.6374,65.2556,67.2313,70.3839,72.0142,72.587,69.7248,65.5249,63.1683,61.38,56.8377,52.7974,52.3391,55.1035,59.7959,64.0559,65.7919,66.6312,62.881,59.9529,57.0661,54.8279,49.5815,44.549,43.7047,46.399,50.4671,55.8892,60.2471,62.0215,60.5915,59.7666,59.4279,56.9344,52.8369,49.5562,50.4085,55.5374,59.1167,62.2838,59.7524,56.882,53.1181,51.1159,49.7128,50.181,48.9891,45.2527,45.4834,48.4494,52.7169,56.6012,58.5048,57.4573,56.3528,52.5861,50.0336,49.5075,45.6765,42.3697,42.6812,46.8036,51.2108,55.7377,57.1028,57.1604,54.4911,51.2544,50.369,49.1592,44.9764,43.1088,44.3307,48.2701,53.8488,59.6915,62.5823,63.4462,61.3245,58.7335,57.4227,57.2017,54.8623,60.8722,70.6381,78.5516,82.0056,83.3772,84.4566,84.9954,82.33,78.7432,79.1508
"San Francisco, CA",98.7242,98.5353,98.3427,98.4153,98.5948,98.6197,98.5261,98.2354,98.1943,98.1067,98.1214,97.8961,97.459,97.6662,97.7903,97.9667,98.1193,98.3658,98.4894,98.4554,98.3533,98.4215,98.4145,98.1483,98.0207,98.0786,98.048,98.0249,98.0951,98.1628,98.2811,98.2154,98.3835,98.4883,98.41,98.0851,97.4252,96.895,96.8865,96.6557,96.3361,96.2712,96.6962,96.7293,96.3175,95.628,95.0579,94.3561,93.9537,93.7363,94.2152,95.132,95.771,96.1195,95.9283,96.0006,95.6013,95.3816,95.5709,95.1779,94.0881,93.1262,93.6538,94.2228,94.4686,94.8011,95.2059,95.5662,95.8704,95.7256,95.8225,96.0935,95.7242,95.5918,95.9712,96.4932,96.8055,96.9791,97.1713,97.1918,97.0993,97.0772,97.1135,96.6538,96.1573,96.0562,96.4911,96.7953,96.96,96.9224,97.0595,97.0464,96.9916,96.7515,96.6284,96.3787,95.9255,95.8581,96.0357,96.3385,96.7303,96.7608,96.5816,96.2791,96.156,96.2418,96.0688,95.2222,94.2388,93.3033,93.5394,93.6872,93.7753,93.6599,93.7481,93.7809,93.7731,93.3148,92.6445,91.5566,89.7381,88.5034,88.7674,88.2427,86.9793,86.401,86.2643,85.2374,83.2019,82.412,80.9807,80.1925,77.024,75.0233,75.047,75.0239,75.6923,75.2679,75.8735,76.0943,76.3254,76.1915,76.1975,74.8773,72.7007,71.106,70.9353,70.5259,72.2083,73.2897,73.5962,73.2548,72.5145,72.9356,73.3426,71.7702,70.9026,69.8714,70.4414,70.5905,71.7764,72.4217,72.3571,72.2416,65.9198,65.4387,64.3266,63.3202,60.8733,59.4457,60.9573,64.1139,67.1577,68.4956,68.5817,69.5744,69.8497,71.0179,71.5863,71.7181,70.7337,72.1303,75.5462,78.4424,81.1743,83.2693,84.544,85.3433,85.6383,86.4228,86.7627,86.5216,86.0848,85.9102,87.427,88.9708,89.9934,90.4261,90.6564,90.7226,91.0849,91.1917,90.8426
"Detroit, MI",98.6505,98.6863,98.7209,98.9078,98.7468,98.8056,98.7528,98.6514,98.5139,98.2072,97.6679,97.7741,97.0415,95.8162,94.2027,93.7705,94.0918,95.1538,95.559,95.9109,96.0273,96.1375,95.7043,94.7586,94.5129,94.9494,94.8194,94.9697,95.7904,96.4896,96.7794,95.5442,95.643,96.9546,97.6289,97.7757,97.3573,96.834,96.3959,96.7274,97.2432,97.5214,97.34,97.3149,97.3536,97.094,96.9313,97.033,96.5763,95.9397,95.5813,95.505,95.9002,96.5304,96.5369,96.6713,96.6982,96.7476,96.6093,96.6938,95.954,96.0161,95.936,96.2446,96.2134,96.5374,96.5279,96.6547,96.2151,96.4487,96.3549,95.7159,95.9291,96.2119,96.0825,96.1957,96.3724,96.4989,96.8384,97.1729,97.0354,96.8534,96.897,96.7667,96.8489,96.5,96.426,96.3023,96.4419,96.5739,96.6673,96.5998,96.7859,96.8386,96.7652,96.1379,95.6533,95.0664,94.5835,94.2478,94.1697,94.3624,94.3402,93.8028,92.4195,92.3472,92.3855,91.3893,90.7527,90.638,90.2097,89.572,88.8121,88.095,85.1638,85.031,83.1347,84.4464,84.9213,84.9003,83.851,83.8781,83.7102,83.28,82.5535,82.1803,80.9911,80.5165,80.1434,79.2316,79.324,78.4911,78.2114,77.4797,76.1241,74.3599,69.8944,65.4789,67.1973,68.9659,70.1784,70.9229,72.3335,71.8579,70.4749,69.4829,68.3495,68.2221,68.1762,68.3097,67.3667,66.6068,68.0111,68.0485,68.2385,67.5884,68.0384,66.9538,67.1085,67.3525,67.4699,67.936,68.3933,69.1882,67.4564,66.6485,66.9248,67.282,65.9739,65.5085,62.3843,63.0541,64.1638,65.8054,66.2599,66.3934,66.691,67.7835,67.2682,68.6031,69.5275,69.8015,70.8207,70.1225,70.4644,70.7052,72.1696,73.0305,73.7495,74.8098,74.6003,74.6393,75.8031,75.944,75.5253,75.0809,75.6192,76.7262,77.3513,78.0133,78.4624,77.8394,77.306
