"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",260800,261100,260900,261200,261200,261300,261700,262500,263600,265400,267200,268600,269700,270700,271900,273600,275400,277300,279600,282500,285700,289200,293300,294900,297000,302200,307700,310700,314100,317500,320700,323600,326400,329300,331700,334100,336200,338600,341400,343900,346000,348900,352400,356000,359600,364200,369200,374000,378200,382200,385700,389600,393600,397400,400800,404700,409000,413400,417900,422800,426500,428700,430600,433400,436600,439900,442900,446100,449500,452800,456100,459800,464400,469700,475700,482800,490100,497400,504700,511800,518300,524500,530800,537100,543000,548200,553400,559800,567800,576000,584600,594500,605400,616700,628300,640400,654200,669200,684100,697600,708700,717700,725500,732200,738400,745200,753100,761200,769300,777800,786100,793400,799700,806100,812500,818100,821800,824300,826100,827600,827800,827000,824400,820700,816600,813100,809600,806200,802200,798700,796800,796500,796200,794300,790800,787500,784200,778700,772500,767000,761100,752600,742000,730000,718500,708500,699300,690500,683000,676800,670400,662300,656900,655100,653300,649000,644700,641500,641200,642800,644600,647000,650200,653500,656600,659100,660200,660300,659800,658700,656400,652800,649300,646200,643100,640800,638400,634700,631100,628000,624500,620700,617800,615500,613300,611700,610800,610500,610400,611400,613900,616400,618900,622700,627800,633000,639000,645500,652100,658400,664800,672700,682200,693000,704100,715100,726200,737000,745000,750700,755300,760300,763900,765200,765500,769500,775100,778100,777600,776900,777300,779200,782500,785500
"Texas",128000,128100,129100,129900,130200,130000,131400,135800,140800,143600,144800,145700,146400,147100,147800,148700,149300,149900,150500,150800,151100,151900,152400,152900,153600,154500,155200,156000,156800,157700,158400,158600,158400,158900,159800,160600,161600,163000,164200,165400,166400,167400,168100,168500,168900,169400,169600,169500,169900,170600,170900,171100,171700,172400,173100,173400,173300,173400,174000,174800,175300,176000,176600,177100,177300,177900,178500,178700,179000,179300,179400,179600,179800,180000,180100,180600,181100,181600,181900,182500,183200,183500,183600,183900,184100,184400,184700,185100,185600,185900,186000,186200,186900,188500,190900,193200,195200,196800,198100,199400,200500,201600,202500,203000,203500,204500,205400,206300,207200,208100,208900,209700,210400,211100,212000,212800,213500,214400,215600,216700,217900,219000,220100,221200,222300,223000,223800,224700,225700,226900,227600,228100,228800,229800,231000,232100,233100,233800,234400,235200,235800,234900,232700,230600,228800,227500,226400,226000,226400,227300,228300,229200,230500,232000,233400,234300,235100,235900,236300,236400,236200,236100,235700,235300,233400,231100,230000,230300,230100,229500,228800,228100,227400,226800,226500,225900,225600,225700,225900,225600,224900,224300,224300,224000,223400,222800,222400,222600,223200,224100,224600,224400,224500,225000,225300,225600,226300,227200,228000,228800,230100,231800,234000,235700,237400,239300,241600,243500,244800,246200,247200,247700,248900,250300,251800,254500,257500,259400,260600,262100,263500,264700,266100,267600
"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381100,382400,385400,388500,396800,409300,418900,422800,427400,428800,428500,430500,436600,442800,448700,454600,458700,462500,470000,479800,487500,491500,494000,498300,504600,510600,516600,522400,526200,528900,533300,539100,544300,546600,546300,546300,547600,548100,548200,546800,551700,561200,566500,564900,564600,563200,560600,558200,557200,556600,555700,554900,553600,552000,550100,548200,546000,543500,540300,537400,534400,531100,527300,525000,516200,503100,494900,493300,490300,487700,485000,482300,480500,479500,479200,479300,479600,479500,479200,479100,479200,479600,479900,480000,479600,479100,478400,477100,475700,474700,474000,473400,472700,471900,470800,470100,469700,469000,468200,467400,466500,465500,464300,463200,462600,462500,462600,462900,463400,464500,465500,466600,467300,468000,468800,470100,471700,474000,477000,480300,483100,485300,487500,489300,490600,492000,494200,495500,495500,494200,493000,492800,493900,494700,495500,496600
"Florida",153300,153400,153500,153700,153900,153900,153900,154100,154600,155000,155700,156500,157200,157500,157800,158200,158600,159200,159900,160400,161100,162100,163200,164000,164500,165000,165300,165600,166100,166800,167400,168200,168900,169800,170800,172100,173200,173900,174700,175700,176600,177600,178800,179900,181100,182600,183900,185100,186500,188300,189800,191000,192300,193800,195200,196800,198500,200200,202200,204300,206200,208000,210000,211900,213900,215700,217600,219600,221800,223900,226200,228500,230400,232200,234500,237100,239600,242100,244500,247100,249800,252700,255200,257500,259800,262400,265100,267500,269900,272500,275300,278400,281500,284800,288400,292200,296900,302000,307400,313500,320300,327200,334200,341400,348300,355100,362600,371300,380700,390300,399700,408700,417200,424800,431500,437600,442600,445800,448100,449800,451000,451100,450300,448900,446900,444300,442000,439500,436200,432600,429100,425500,421300,416400,411200,406100,401100,396000,390600,385300,379800,373500,366700,359800,352900,346300,340000,334000,328000,321800,315400,308800,303700,301200,299300,295900,292300,289400,287000,284600,283000,282500,282300,281900,282200,282500,282200,281600,281200,281000,280500,279700,278500,276900,275100,273500,271500,269600,268000,267000,266000,265000,264000,262800,261800,261400,261400,261700,262100,262700,263900,265400,266700,268200,270000,272100,274100,275800,277600,279500,281000,282300,284200,286800,289700,292400,295100,298100,301300,304600,307800,310600,313000,315300,316900,318900,321300,323700,325600,327400,329000,330600,332500,334100
"Illinois",187900,187800,188000,188200,188400,188700,189000,189500,191000,193300,195000,195600,196000,196500,197000,197300,197400,197600,198300,198900,199200,199800,200700,201400,202100,203100,203700,204200,205000,206200,207400,208700,209700,210700,211800,213200,214500,215800,216900,218400,220000,221600,223300,225200,226800,228200,229500,231000,232700,234500,236200,237600,239300,240900,242300,243700,245400,247100,248800,250600,252600,254200,255700,257200,259000,260900,262800,264900,266500,267900,269300,270600,271800,273000,274500,276100,277800,279900,282100,283900,285500,287100,289100,291500,293700,296500,300300,303600,305600,306500,306500,306700,307700,309200,310800,312400,314300,316000,317800,319900,322200,324200,326500,329400,332600,335500,338100,340500,342800,344700,346300,348100,350100,352400,354700,356700,358300,360000,361500,363200,364700,366000,366400,366500,366800,367500,368000,368100,367800,367600,367500,367400,366800,365900,364900,363700,362300,361000,359700,358400,356700,355200,353600,351400,349100,347100,344800,342400,340200,338100,336000,333800,331500,329100,326800,324300,321700,319200,317300,315500,314000,313000,312600,312200,311700,310800,309300,307400,306100,305100,304000,302800,301000,298700,296300,294300,292200,290000,288300,286900,285100,283200,281300,279400,277800,276200,274000,272100,270700,269400,268200,267300,266900,267000,267200,267800,268100,268500,269000,269400,269800,270700,271900,273400,275400,277800,280900,284300,287100,289600,292300,294200,295400,296700,298300,300200,302300,304100,304900,305700,306700,307900,308900,309800
"Pennsylvania",144200,144400,144600,144900,145400,145600,145600,145800,146200,146400,146900,147400,147600,147700,147900,147900,148100,148500,148900,149300,149700,150300,151000,151800,152300,152600,153100,153600,153400,153100,153400,154100,155100,156200,157100,157600,158000,158400,158800,159300,159900,160700,161300,161800,162100,162800,163600,164500,165200,165900,166600,167400,168200,169100,169800,170500,171200,172000,172800,173900,175000,176100,176900,177800,178800,179800,180700,181800,182900,183800,184700,185900,187100,188500,190000,191400,192900,194600,196400,198100,199800,201400,203300,205000,206700,208400,210300,212400,214400,216200,218100,220100,222100,224000,225800,227500,229300,231600,233700,235700,237900,240400,242800,244900,247100,249500,251600,253500,255600,257600,259400,261500,263900,265900,267700,269500,271200,272500,273900,275100,276400,277500,278600,279600,280200,280600,280900,281200,281200,281600,282500,283200,283500,283800,283700,283000,282500,282400,282100,281200,280200,279200,278200,277400,276800,276200,275600,275400,275000,274200,273500,273300,273200,272500,271500,270900,270300,269500,268900,268400,268100,267800,267700,267700,267600,267800,268000,267800,267400,267300,267100,266300,265100,263900,262800,262000,261100,260400,259300,258300,257400,256300,255300,254700,254500,254300,254100,253900,253800,253600,253600,253600,253200,252700,252700,253000,253300,253500,253500,253300,253200,253100,253600,254000,254400,255000,256200,257200,258100,259100,260200,261200,262100,263700,264900,266700,269300,271600,272800,273900,274800,275600,276400,277100
"Ohio",151800,151800,151600,151900,152300,152400,152700,153100,153400,153900,154800,155500,156100,156500,157000,157400,157800,158000,158400,159000,159600,160300,160800,161100,161500,162000,162500,162900,163300,163500,163900,164500,165200,165900,166500,167200,167900,168800,169700,170500,171000,171500,171900,172200,172700,173300,174000,174700,175500,176100,176700,177000,177600,178300,178900,179300,179800,180200,180900,181400,181800,182100,182600,183000,183500,184000,184500,184900,185200,185800,186500,187100,187500,188000,188500,189000,189600,190300,190900,191600,192400,193100,193600,194300,195200,196200,197000,197900,198700,199600,200500,201500,202500,203000,203300,203600,204100,204500,204900,205400,206100,206600,207100,207900,208500,209100,209800,210400,210900,211400,211800,212100,212200,212500,213000,213400,213500,213700,214000,214400,214600,214600,214500,214400,214300,214400,214400,214000,213600,213400,213200,212900,212500,212200,211800,211200,210600,210000,209300,208700,208000,207100,206100,205200,204100,203200,202600,202200,201700,200900,200000,198800,198200,198400,198700,198600,198600,198400,198100,198200,198300,198300,198400,198700,198700,198500,198200,197900,197500,197500,197300,196900,196500,196200,195400,194600,194000,193200,192400,191600,191000,190500,190300,190300,190300,190200,190100,190100,190200,190000,189800,189800,190200,190400,190700,191200,191600,192000,192500,193000,193300,193600,194100,194700,195300,196100,197400,198400,199200,200000,201300,202600,203700,204700,205800,207000,208600,210100,210700,211200,211900,212600,213300,214000
"Michigan",157700,155100,153700,153600,154200,155100,155900,156200,156900,157900,158800,159800,161200,162900,164200,165000,165500,166100,166900,168000,169000,169900,170900,171800,173000,174500,175700,176600,177700,178800,179800,180500,181500,182700,184100,185300,186800,188300,189700,191100,192300,193200,194100,195200,196300,197500,198400,199400,200900,202600,203800,205100,206200,207300,208400,209700,210900,212100,212800,213500,214600,216000,217500,218700,219300,219600,220000,220700,221300,221700,222300,223000,223300,223700,224600,225600,226700,227800,229000,230000,230900,231500,232200,232800,233400,233800,234200,234600,235500,236500,237200,237700,238500,239200,239800,240300,240900,241400,241800,242300,243200,244100,245000,245700,246300,247000,247600,248000,248400,249000,249500,249700,249300,248900,248600,248500,248300,247900,247500,247100,246500,245700,244700,243700,242700,241600,240400,239500,238300,236800,235600,234500,233300,231700,229900,228300,226800,225100,223100,221000,218600,215800,212900,210300,207900,205600,203400,201200,198800,196500,194200,191800,189800,189000,188700,187500,185800,184300,183000,181900,181100,180700,180300,180100,180200,180200,180200,180500,180900,181000,181000,180800,180400,179900,179400,178900,178300,177800,177300,176700,176300,176200,176000,175800,175700,176100,176700,177200,177800,178500,179300,180000,181000,182200,183800,185600,187400,189000,190600,192200,193700,194700,195700,197100,198800,200800,203200,205600,208200,210500,212500,214300,215900,217100,218000,219600,221900,224100,225500,226800,227800,228600,229700,230900
"Georgia",162800,162600,162400,162200,162100,162200,162600,163100,163500,163900,164500,165500,166700,167600,168300,169000,169600,170500,171500,172400,173000,173600,174400,175300,176300,177400,178300,179300,180600,181800,183100,184400,185900,187500,188900,190100,191500,192800,194100,195800,197600,199200,200600,201800,203000,204200,205500,206600,207900,209400,211200,212600,213600,214200,214900,215600,216300,217300,218700,219800,220600,221400,222100,222800,223700,224600,225200,225800,226600,227300,227900,228600,229400,230100,230800,231400,231900,232400,232900,233700,234400,234900,235400,236100,236800,237500,238100,238700,239300,240100,240800,241500,242500,243600,244400,245400,246300,246800,247500,248500,249600,250800,252000,253300,254700,256300,257800,258900,259900,261300,262700,264000,265300,266800,268500,270100,271500,272600,273600,274700,276000,277200,278000,279000,280100,281000,281800,282300,282100,281500,281200,281500,282000,282500,282800,282900,282800,282300,281600,280900,279900,278500,276900,275400,273700,272000,270400,268600,266300,263900,261400,258400,256800,257000,257200,256100,254800,253400,252100,251100,250400,249900,249800,249800,249500,249200,249100,248700,248000,247400,246700,245600,244600,243500,242400,241000,239600,237900,235900,234100,232600,231200,229900,228900,228300,227600,227000,226800,226800,226600,226400,226500,226500,226600,227000,227500,228100,229000,229800,230900,232100,233100,234100,235300,237000,239300,241800,244100,246400,248400,250300,252400,254200,255400,256500,258600,261600,264100,265800,267500,269100,270600,272400,274200
"North Carolina",161300,161500,161800,162100,162300,162500,163000,163500,164100,164700,165600,166400,167400,168500,169700,170700,171600,172400,173400,174200,175200,176300,177400,178500,179600,180600,181600,182500,183300,184100,184900,185800,186500,187300,188200,189100,189700,190400,190900,191400,192100,193000,193800,194500,195200,196100,197200,198100,198900,199800,200700,201700,202700,203600,204600,205400,206200,207300,208200,208800,209200,209400,209800,210400,211200,211900,212300,212700,213100,213500,213900,214400,214700,215100,215500,215800,216200,216400,216600,217200,218100,219000,219700,220200,221100,222100,223000,223800,224400,225000,225900,226800,227600,228400,229200,230200,231000,231800,232900,234100,235300,236700,237900,239000,240400,241700,243100,244600,246200,247600,249000,250400,251900,253700,255700,257700,259400,260900,262200,263800,265500,267100,268500,270100,271800,273500,275200,276800,277700,278600,279800,281000,282000,283000,283900,284300,285000,285500,285300,285000,285100,284800,284300,283900,283700,283500,283300,283200,282900,282200,281200,279700,278600,278500,278500,277900,276900,275900,275200,274800,274100,273400,272800,272400,272100,271300,270400,269700,269000,268200,267500,266500,265200,264100,263300,262600,261600,260600,259600,258600,257900,257800,257200,256300,255900,255800,255500,255300,255500,255900,256200,256300,256400,256600,257200,257700,257800,258000,258600,259300,259800,260100,260800,261500,262000,262600,263700,265100,266100,266900,267900,269500,271000,272300,273200,274400,276200,277900,278500,278900,279400,280100,280900,281700
"New Jersey",250500,250500,250400,250300,250100,249800,249500,249200,249000,249500,250800,251800,252500,253100,253600,254200,254800,255400,256300,257700,259100,261000,263200,265000,266200,267100,268100,269300,270700,272800,275200,277500,280000,283000,286100,288800,291400,293800,296200,299000,302200,305200,308000,310400,312800,315600,318800,322100,325200,328600,332100,335700,339100,342400,345800,349600,353600,357800,362000,365700,369400,373000,376700,380300,383900,388200,392300,396100,399700,403400,407100,411200,415700,420600,425500,430900,436500,441300,445400,450200,455500,460200,464700,469100,473500,478100,482900,487200,491300,495600,500400,505200,509600,513900,518900,524100,529500,535100,541100,548100,555800,563200,570200,577200,584300,590700,597000,603600,610500,617400,623700,628900,633100,637100,641100,644600,647300,649600,651200,652400,653600,654500,654400,653200,651400,649400,647700,645500,642900,640800,639200,638100,637600,636600,634900,632600,629700,626500,623800,621900,619900,617400,614400,611300,607900,604000,600100,597000,594400,591700,589000,585500,581900,578800,576600,573800,570600,567400,564800,562600,561200,560200,559400,559300,560100,561500,562500,562100,561000,560000,559200,558400,557400,556100,554700,553000,550900,548800,546600,543900,541500,539300,536400,533900,532400,530600,528100,525800,524100,522800,521600,520300,519400,519000,519300,520200,521200,522200,522900,523300,523600,524200,525300,526400,527300,528300,529800,531600,533800,535900,538700,541600,543700,545200,546800,550600,554100,558000,563000,567500,569000,571200,573200,574600
"Virginia",197300,197200,197000,196500,196200,195900,195700,195600,195800,196300,196900,197200,197200,197400,197400,197400,197600,197900,198500,199500,200500,201400,202400,203300,204100,204600,204900,205300,205900,206700,207700,209000,210400,211800,213100,214100,214800,215800,217200,218700,220200,221500,222500,223400,225000,227100,229300,231100,232800,235000,237100,239100,240800,242800,244700,246700,248900,251400,253900,256400,259000,261700,264400,267000,269600,272300,275000,277300,279500,281900,284500,287200,289700,292300,295300,298500,301600,304600,307600,310400,313100,315900,318700,321400,324000,326600,329100,332200,335700,339500,343700,348200,352600,357200,362300,367900,374000,380200,386600,393500,400500,407300,414200,420800,427400,433800,440500,447600,454900,461900,468200,474000,479600,484400,488600,492900,496200,497400,497700,497800,497800,497800,497700,497000,495400,493300,491000,489300,487900,487300,487000,486500,485400,484100,482000,479100,476000,473000,469900,466200,462100,458200,454000,449200,444300,439400,434900,431100,427700,424400,421200,417900,415400,414200,413300,411800,410400,409100,408000,407300,407400,408200,409300,410300,410700,410500,410200,409800,409500,409500,409700,409600,408900,408000,407400,407100,406600,406100,405300,404400,403500,403100,403000,403100,403300,403800,404000,404300,404800,405100,405400,405600,405700,406400,407600,408800,410100,411200,412500,414100,415400,416800,418900,421000,422800,425200,428600,432100,435400,438100,440000,441000,442700,445000,446600,451000,457300,461000,461100,461400,461500,462400,463800,465100
"Washington",212100,211600,211200,211100,211300,211600,212100,212900,214100,215400,216600,218300,220400,222300,223900,225600,227300,228900,230300,231900,234000,235900,237700,239400,240900,242600,244700,247000,249100,251200,253000,254300,255500,257300,259300,261100,262700,264300,266100,267800,269500,271100,272700,274500,276800,279100,280900,282400,284000,285800,287100,288100,288900,289700,290700,291700,292400,293400,294500,296000,297700,298900,299800,300800,302100,303400,305000,306500,307400,308000,308900,309800,310300,310900,312000,313200,314500,315800,317200,318500,319900,321300,322900,324800,326400,327900,329500,331000,332700,334800,336800,338900,341700,345200,348600,352000,355300,358900,362500,366300,369900,373300,377400,382400,387200,391700,396100,401100,406900,413200,419600,426200,432800,439200,445300,450800,456100,461400,466500,471200,476100,481600,487000,492000,496600,500600,504100,507300,510100,512600,515000,517400,519800,521400,522100,522400,522500,521300,519400,517200,514700,511400,507800,504400,500700,496200,491500,487400,484000,481000,477100,472300,468200,464800,461700,458000,453700,449500,446100,443100,440300,438300,437300,436800,436000,435000,433800,431700,429100,426800,424300,421200,418000,415200,413000,411300,409900,408300,406600,404300,401500,399000,397200,395500,393800,392800,392200,391900,391500,391400,392100,393900,395900,398300,400800,403600,406100,408300,410600,413300,415900,418700,421700,424700,428300,432600,437400,442100,446300,449900,452900,455000,457100,459500,461200,464500,470000,474500,476700,478900,481800,484000,486500,489200
"Massachusetts",225400,225500,225600,225900,226000,226000,226200,226900,227600,228800,230500,231800,232900,234300,235500,236800,238100,239400,241000,243000,245400,248200,250900,253000,254600,256400,258600,260900,263200,265500,267600,269500,271400,273700,276100,278600,281500,284600,287800,291400,295200,299100,302800,306400,310100,314000,317900,321800,325800,330200,334900,339700,344600,349200,353700,358400,363100,367500,371900,376200,380800,385600,390100,394100,397800,401600,405400,408900,411700,413800,416100,419100,422400,425600,429300,433200,437100,441100,445500,450000,454400,458900,462800,465700,468100,470300,472100,473700,475700,478000,480700,483700,487000,490700,494900,499300,503300,507200,511200,515500,519700,523500,526900,530400,533900,537900,541700,545300,548200,550200,551300,551900,552400,552600,552200,550900,549100,547200,545500,544500,543900,543000,541000,538200,535100,532200,529500,527100,525300,524200,523600,523000,521900,520200,518500,517000,515600,514100,513000,511900,510300,507900,505000,501500,498100,495500,493700,492500,491600,490500,488900,486800,485000,483600,481900,479800,478200,477700,478100,478900,479700,480100,480500,481100,481500,481400,481200,481200,480900,480700,480700,480300,479400,478700,478200,478100,477700,477100,476600,476300,475900,475400,474800,474200,473700,473100,472600,472400,472500,472800,473300,474600,476200,477600,478600,480000,482000,483900,485500,487200,489300,491900,494600,497500,500700,504100,507700,511700,515700,519000,521800,524900,528400,531500,534100,536100,538900,542400,545400,546800,548000,550200,553500,556300
"Indiana",130000,132900,133600,133600,133700,133400,132600,132400,131900,130800,130300,129700,127700,126300,127200,129800,132200,133600,134600,135700,136200,136500,137400,138700,139300,139600,140000,140400,140800,141300,141900,142500,142600,142800,143400,143700,143600,144100,144900,145200,145600,146200,147100,147800,147900,148000,148800,149700,150200,150800,151300,151900,152400,153100,153900,154200,156500,160800,163100,163000,163500,164100,164100,164000,164200,164800,165400,165700,165500,165100,165200,165800,166200,166000,165800,165500,165200,165200,165300,165800,165700,165100,164900,165500,165700,165700,166000,166700,167600,168600,170000,171200,172900,175200,176800,177400,178500,179800,181200,182500,183800,184500,184900,185200,186100,187600,189800,191400,192600,193800,194800,194700,194200,194500,195200,196400,196700,196000,195000,194600,194700,195300,196100,197400,198500,198500,197900,197800,197700,197100,197100,197800,198100,198300,198400,198400,198700,199200,199400,199500,199400,199200,199000,198800,198400,198400,198400,198300,198100,198000,197800,197700,197300,196800,196300,195900,195400,194700,194100,193800,193700,193600,193200,192400,193100,194600,195500,195400,195700,195200,194900,194500,193900,193400,193500,192900,192000,191300,191000,190600,190700,190800,190600,190200,190000,190000,189900,189600,189100,188500,188500,189000,189600,190000,190700,191500,192200,193000,193900,195200,196300,196700,196700,197500,198500,199400,199900,200500,200900,201200,201700,202500,202900,202700,202900,202900,202200,201600,201500,201400,201400,201700,202200,202800
"Arizona",167300,167300,167200,167400,167900,168100,168400,168700,169500,170400,171200,171900,172500,173300,174200,175000,175700,176600,177800,178800,179400,180300,181500,182400,183100,183900,184600,185300,185900,186500,187000,187900,189100,190500,192000,193700,195200,196600,197900,199000,200000,200900,201700,202400,203500,204800,206300,208100,209800,211300,212600,213600,214500,215400,216400,217700,219000,220100,221200,222000,222700,223500,224500,225300,226100,226900,227700,228400,229200,230600,231900,233300,234500,235300,236000,236700,237700,238900,240600,242500,244200,245600,246600,247400,248000,248900,250500,252700,255100,257400,259500,261500,263300,265200,267400,270100,273500,277100,280800,285200,290400,296500,303500,311200,319200,327400,336400,346700,358200,370400,382700,394800,405700,415000,422400,428900,434300,438400,441200,443000,443800,443900,443800,443100,442100,440600,438600,436500,434300,431800,429300,426800,424200,421500,418900,416700,414500,411600,408600,405900,401900,396400,390700,385000,379400,374100,368100,361700,355500,349800,343900,337000,331400,328500,325600,320700,315600,310700,306600,303200,300900,299200,298000,296600,295900,295800,295400,294500,293200,291600,289700,286900,283200,279400,276300,273800,272000,271000,271100,271400,270900,269800,268700,267700,267200,267400,268000,269300,271200,273100,275100,277900,281100,284400,287800,291600,295300,299400,303900,307700,309900,311200,313000,316100,320900,326200,330900,334600,337800,338600,338200,338800,340100,339900,339300,339300,339500,339700,339500,339400,339700,340800,342900,345000
"Tennessee",139100,139300,139600,140000,140300,140700,141000,141400,142100,143000,143800,144600,145300,146000,146800,147600,148300,149100,150000,151000,152000,152900,154000,155200,156300,157200,158100,159000,159900,160800,161700,162500,163100,163700,164100,164500,165200,165700,166200,166700,167300,167800,168400,169100,169800,170700,171600,172200,172600,173100,173800,174400,174900,175200,175300,175600,176100,176500,177100,177800,178300,178500,178700,178900,179300,179800,180100,180600,181100,181400,181900,182500,183000,183600,183900,184100,184500,185100,185500,185800,186200,186800,187300,187700,188300,189100,189800,190700,191500,192300,193300,194200,194900,195600,196400,197300,198400,199500,200500,201300,202000,203000,204200,205500,206700,207900,209000,210100,211200,212400,214000,215700,217400,218900,220400,221600,222800,224100,225300,226400,227700,229100,230700,232300,233600,234500,235600,237000,238000,238600,239300,240100,240700,241200,241500,241700,241800,242100,242100,241900,241300,240800,240600,240500,239900,239000,238400,237900,237300,236400,235500,234600,234500,235200,235800,235700,235400,234900,234700,234500,234200,234000,233800,233600,233600,233500,233300,233000,233000,232700,232100,231300,230700,230300,229900,229300,228800,228400,227400,226300,225900,226200,226200,226000,225900,226000,226100,226300,226300,226000,226000,226400,226300,226300,226600,226800,227300,227800,228100,228300,228600,229000,229500,229900,230200,230500,231300,232700,233800,234900,236300,237900,239000,239700,240100,241200,243200,245000,246000,246700,247500,248500,249400,250100
"Missouri",136900,137600,138500,139300,140100,140700,141500,142300,143400,144800,146000,146700,147300,147800,148300,148900,149700,150700,151200,151700,152300,152800,153300,153800,154300,155000,155800,156300,156700,157200,157800,158600,159500,160700,161800,163000,164000,165200,166700,168200,168700,169300,170200,171200,171900,172700,173800,175400,176600,177400,178400,179900,181700,183100,184000,184500,185100,186200,187800,189200,190400,191600,193000,194100,194900,195600,196500,197500,198600,199700,200800,201900,203300,204300,204800,205000,205400,206300,207700,208800,209300,210000,211100,212300,213700,215300,216800,218500,220300,221900,223000,224300,225500,225700,224800,223800,223400,223700,224400,225700,227100,228300,229200,230400,232000,233800,235700,237400,238400,239100,239500,240100,240900,241600,242100,243200,244100,244300,244400,244800,245300,246200,247000,247300,247600,248300,249300,249800,249400,248900,249500,250900,251800,251800,250800,249400,248100,247500,246800,246400,245300,243700,242800,243100,243300,243500,244000,244400,244100,243500,242700,242200,240700,238600,236900,236200,235000,233700,232800,232500,232200,231900,231600,230300,234900,244500,249500,248400,249400,250500,250400,250400,250400,249600,248900,248400,246000,242400,240400,238900,235300,230900,228200,226400,224200,222400,222000,221700,220600,219500,218800,218600,219000,220200,220800,220800,221300,222300,222800,222700,221800,220000,219300,220100,221300,223200,225300,227000,228300,229000,229200,229600,229600,229400,229800,230200,230300,230900,232100,233100,234300,235400,236200,237200
"Maryland",216100,216000,215800,215400,215200,215000,214900,215100,215600,216300,217000,217200,217200,217100,217100,217100,217300,217600,218000,218700,219400,220200,221500,222600,223200,223600,224000,224600,225200,225700,226300,227100,227800,228700,229900,231200,232500,233700,234900,236100,237600,239300,240800,242100,243700,245700,247300,248900,250400,252300,254200,256100,257600,259200,261300,263600,266000,268500,270900,273200,275700,278200,280600,283300,286000,288500,291100,294000,297200,300700,304200,307700,310900,314300,318100,322200,326500,330800,335000,339100,343500,347900,352700,357400,361800,366100,370400,374800,379800,385000,389800,394200,398900,404200,409500,414600,420300,426900,433900,441300,449000,456300,463700,471600,479400,486400,493900,501900,510200,518300,526500,534100,540700,546700,552500,557800,562000,565400,568000,569700,570500,570600,570600,569700,567900,566100,564500,562600,560500,559000,557900,557300,556800,556000,553700,550600,547200,543800,540200,536300,532200,528300,524500,520500,516500,512200,507600,503300,499400,495600,492300,488900,485100,481300,477600,473600,470300,467800,465800,464300,463400,463000,462900,463400,463600,463200,462600,462100,461600,461200,460900,460500,459600,458100,456400,454800,453500,452400,451300,450200,448500,446300,444700,443700,443000,442200,440900,439600,438900,438400,438200,438100,437600,437400,438100,439500,441300,443200,445200,446700,447700,449100,451100,452800,454400,456300,458400,460300,462400,464200,465800,466900,467900,469200,470000,471500,474500,477600,478800,478700,478000,478000,478200,478300
