"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",162900,163200,163100,162800,162800,162900,162800,162700,163000,164000,164800,165400,165600,165700,165800,166100,166400,167100,168100,169300,170500,172000,174200,175000,175400,176800,178800,180300,181800,183000,184600,186300,187900,189400,190800,192500,194100,195700,197400,199200,200800,202500,204500,207000,209300,212000,215000,218000,220600,223100,225400,227600,229700,231900,233900,236000,238500,241000,243600,246400,248900,251000,252900,255100,257300,259700,262000,264500,267200,270300,273700,277100,280500,284500,288800,293700,299000,304600,310100,315200,320300,325300,329900,334600,339400,343700,347800,352600,358200,364400,371100,378400,386000,393900,401900,411000,421300,432500,443900,454800,464200,471700,478300,484200,489300,493900,499100,504700,510500,516700,523000,529500,535700,541800,547500,552300,555200,557200,558700,559800,560200,560200,559500,558000,555700,552800,549400,546500,543800,541500,539400,537300,534800,531600,527100,522100,517100,511800,506500,501000,494300,486400,477600,467800,457200,447100,438100,429500,420800,412700,405500,398200,392800,389900,387600,383900,380300,377200,375100,374200,374600,375300,376200,377400,379000,380200,381100,382100,383200,383700,383200,381700,380100,378500,376700,374700,372700,370400,368200,366100,363600,360700,357800,355500,353600,352300,351300,350800,350400,350200,350600,351600,353100,355400,358300,361400,364500,368100,372200,376500,381000,386100,391900,398900,406600,414500,422400,429800,436100,441300,445800,449700,452800,455200,456900,459200,462300,464800,466100,467200,468600,470400,472800,474900
"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363600,362700,361800,361100,360100,358100,355600,353200,351000,348500,345600,343000,340700,338500,336200,335400,324500,307700,299000,299800,298900,297800,296500,295300,294400,293200,292500,292300,291600,290500,289500,288400,286900,285800,285200,284400,283500,282600,281700,280900,280400,279600,278200,276800,275500,274300,273200,272300,271300,270100,268900,268100,267100,266000,265000,264500,264100,264000,263800,263800,264200,264900,265300,265700,266400,267000,267500,268000,269300,271300,273300,274900,276000,276700,277200,277400,277100,277000,277100,278300,279100,277900,275700,274800,274700,274700,275200,275900
"Florida",87400,87500,87500,87600,87700,87900,87800,87800,87900,88300,88900,89200,89400,89500,89700,89900,90200,90300,90700,91000,91300,91700,92400,92800,93000,93200,93500,93600,93800,94000,94200,94600,95300,95700,96000,96500,97100,97600,98100,98500,98900,99500,100200,100900,101400,102000,102800,103600,104300,105000,105700,106500,107200,107800,108400,109300,110200,111000,112000,112800,113600,114500,115500,116500,117700,118800,119800,120700,121500,122500,123800,124900,125900,126900,128000,129200,130300,131400,132800,134100,135600,137100,138400,139700,141100,142400,143700,145100,146400,147900,149600,151300,153000,154900,157000,159200,161800,164700,167400,170400,174000,177500,180900,184600,188600,192600,196700,201300,206800,212600,218500,224400,229900,235100,239900,244300,248100,250900,253200,255200,256500,257000,257100,256500,255500,254000,252200,250200,247800,245200,242700,240300,237400,234100,231000,227800,224600,221300,218100,215100,211400,207200,203000,198700,194400,190300,186400,182500,178600,174800,170900,166900,163800,162100,160300,157500,154900,152600,150400,148500,147100,146200,145500,144800,144400,144000,143400,142800,142300,141800,141100,140300,139300,138100,136900,135800,134300,132700,131700,130900,129700,128700,127800,126900,125900,125300,125100,125000,124900,125000,125300,125900,126800,127600,128400,129200,130100,131200,132200,132900,133700,134500,135800,137100,138500,139900,141600,143300,145100,147000,148800,150700,152200,153500,154400,155700,157600,159500,160900,162200,163500,164500,165500,166300
"Illinois",122000,121800,121700,121400,120700,120300,120400,120500,121000,122200,122900,123000,123100,123400,123500,123700,123900,124200,124500,125000,125300,125600,125900,126100,126100,126200,126400,126800,127200,127600,128100,128800,129500,129900,130300,130900,131700,132500,133000,133500,134100,134900,135500,136100,136900,137800,138700,139500,140400,141400,142100,142700,143500,144400,145500,146500,147300,148200,149200,150100,150800,151700,152800,154000,155200,156400,157700,158800,159700,160700,161800,162800,163600,164300,165000,165600,166300,167200,168500,169900,171100,172200,173400,174800,176400,178000,180100,182000,183100,183900,184500,184900,185300,186200,187100,188000,189100,190200,190900,192800,195400,196800,197100,198400,200100,201700,203200,204900,206400,207900,209500,211000,212000,213200,214800,216400,217600,218700,219500,220200,221000,222100,222900,223000,223300,223800,224100,224100,224200,224200,224300,224300,224100,223700,223100,222500,221700,220800,220400,219900,218700,217200,215800,214200,212600,211200,209500,207600,205900,204500,203000,201200,199600,198300,197000,195400,193700,191700,190100,188700,187600,186600,185900,185100,184000,183000,181900,180700,179700,178700,177400,176000,174500,172700,171000,169300,167600,166100,164700,163600,162100,160400,158800,157200,155600,154100,152800,151700,150800,149700,148700,148000,147700,147500,147500,147600,147500,147300,147100,147000,147200,147500,147800,148400,149000,149800,151200,153000,154600,156100,157400,158400,159400,160200,160900,161900,162900,163600,164000,164300,164900,165900,166800,167400
"Pennsylvania",89100,88500,88200,88100,88100,87900,87500,87300,87300,87500,87600,87700,87800,87800,87900,88100,88000,88100,88300,88600,88700,89000,89300,89700,90000,90200,90300,90200,90400,90700,90800,90900,91400,91800,92200,92600,92700,92700,92800,93200,93500,93600,93700,93900,94000,94400,94800,95100,95400,95900,96400,96700,96700,97000,97600,98000,98200,98400,98800,99300,99900,100700,101200,101800,102500,103200,103800,104600,105300,105800,106300,107000,107800,108400,109000,109700,110400,111100,111700,112300,113200,114300,115100,115900,116700,117700,118600,119400,120300,121300,122600,123800,124600,125300,126200,127200,128300,129300,130200,131000,132000,133200,134300,135300,136400,137500,138800,140100,141100,142100,143500,145000,146500,147700,148600,149800,151200,152300,152900,153500,154300,155200,156200,157200,157900,158500,159000,159500,159700,160100,160600,160900,161100,161500,161800,161800,162000,162300,162400,162200,162100,162000,161700,161700,161700,161600,161300,161100,160700,160500,160400,160300,160000,159700,159800,159600,159300,158800,158500,158300,158200,158100,158100,158000,158000,157900,157700,157500,157200,157000,156600,156100,155400,154400,153600,153000,152300,151800,151200,150500,149900,149400,148700,148100,147500,147300,147000,146600,146100,145700,145400,145300,145200,145100,145200,145300,145300,145200,145100,144800,144600,144600,144800,145100,145300,145600,146000,146400,146800,147300,147900,148500,149200,150200,150800,151600,152800,153300,153400,153700,154200,154500,154700,155100
"Ohio",90000,90500,90700,90800,91100,91400,91500,91700,92000,92300,92700,93100,93400,93500,93900,94200,94500,95000,95400,95700,96200,96500,97000,97400,97500,97500,97700,97900,98300,98600,98800,99300,99900,100300,100600,101000,101400,101900,102500,103300,103700,103800,104200,104600,104900,105300,105900,106400,106800,107200,107700,108100,108500,109000,109300,109500,109900,110400,110600,110900,111300,111800,112200,112400,112500,112800,113200,113700,113800,114000,114400,114700,115000,115400,115700,115900,116100,116400,116800,117100,117600,118000,118300,118700,119200,119600,120000,120500,121300,121800,122200,122600,122900,123200,123500,123700,123900,124100,124300,124400,124700,125000,125400,125600,125900,126200,126500,127000,127300,127500,127500,127700,127700,127800,127900,128000,128000,128100,128300,128400,128200,128200,128300,128300,128100,128100,128000,127700,127500,127300,127300,127100,126900,126600,126300,125800,125400,125000,124400,123900,123400,123000,122400,121700,120900,120300,120000,119700,119100,118400,118000,117600,117400,117300,117000,116600,116300,116000,115600,115500,115600,115500,115500,115600,115500,115100,114800,114700,114500,114300,114200,113900,113700,113400,112900,112300,111600,110800,110000,109400,109000,108500,108200,107800,107400,107000,106700,106500,106500,106400,106200,106200,106500,106700,106600,106600,106800,107000,107000,107100,107200,107400,107600,107800,108100,108600,109000,109400,110000,110500,111100,111600,111900,112400,113200,114000,114500,115000,115500,116000,116300,116500,117100,117700
"Michigan",89700,89400,89500,89600,89700,90200,90800,91100,91500,92000,92700,93400,94300,95200,96100,96900,97500,97900,98300,99000,100100,100900,101500,102000,102700,103600,104400,105000,105800,106600,107100,107600,108300,109000,109800,110600,111400,112500,113300,114200,115300,116200,116800,117600,118200,118900,119700,120600,121300,121800,122300,122900,123400,123700,124300,125200,125900,126400,126800,127500,128300,129000,129700,130400,131000,131600,132100,132400,132500,132800,133100,133200,133300,133500,133800,134200,134700,135200,135700,136100,136700,137100,137500,137900,138500,138900,139100,139300,139700,140000,140400,140800,140900,141000,141300,141700,141800,142000,142000,142300,142700,143100,143400,143700,144100,144600,144900,145100,145200,145700,146100,146200,146000,145800,145800,145900,145700,145500,145100,144700,144200,143700,143000,142600,142000,141400,140800,140400,139900,139300,138500,137800,137000,136100,135000,134000,133000,131800,130800,129800,128400,126600,124800,123200,121800,120200,118500,116800,115300,113900,112300,110300,108700,108000,107500,106400,105200,104100,103200,102200,101200,100400,99600,98600,98100,98100,98000,97600,97300,97200,97000,96500,96000,95500,94900,94300,93600,92600,91800,91500,91100,90300,89700,89500,89100,88700,88400,88500,88600,88600,88700,88900,89500,90300,91200,92000,92800,93600,94700,95700,96300,96900,97800,99000,100300,101800,103300,104600,106100,107700,109300,110500,111400,112300,113100,113400,113400,113600,114100,114900,115700,116300,116900,117500
"Georgia",93500,94200,94300,94200,94200,94500,94900,95300,95600,96000,96300,96500,96700,97000,97600,98300,98800,99200,99600,100000,100700,101400,102000,102700,103300,103600,104100,104900,105500,106100,106900,107500,108000,108900,109800,110400,111100,111800,112600,113700,114300,114700,115300,116200,117000,117700,118700,119500,120100,120600,121300,122000,122900,123800,124800,125300,125500,125800,126600,127300,127900,128600,129200,129600,129800,130100,130500,130900,131500,132100,132300,132700,133400,133900,134000,134500,135200,135700,136000,136500,136600,136800,137400,137800,138100,138500,139000,139100,139500,139900,140200,140400,141200,141800,142100,142400,142800,143300,143600,143900,144100,144600,145200,145900,146600,147300,148000,148700,149200,149600,150200,150800,151600,152300,153000,153700,154200,154600,154900,155400,155700,156000,156400,157000,157500,158000,158400,158600,158300,157700,157200,157200,157300,157600,157600,157500,157400,157100,156500,156000,155700,155100,154200,153300,152200,151000,149800,148500,146900,145100,143400,141200,139800,139600,139400,138200,137100,136200,135500,134800,134200,133500,133200,133200,132800,132300,132000,131700,131300,130700,129900,129000,128100,127000,126100,125200,124200,123000,121900,121000,119900,118900,117800,116600,115700,114900,114200,113700,113400,113000,112400,112200,112000,111800,111800,112000,112300,112500,112700,112900,113300,113700,114400,115200,115900,116900,118300,119900,121500,122900,124100,125500,126700,127600,128200,128800,130100,131600,132700,133600,134700,135900,137200,138300
"North Carolina",91800,92300,92800,93600,94000,93900,93900,94600,95100,95400,95700,96500,97400,98500,98900,98900,99000,99800,100600,100800,100700,100800,101800,103600,104900,105200,105600,106300,107300,108000,108700,109400,109500,109400,110000,111300,111700,112000,112700,113100,113400,114400,114700,114100,114300,115400,116800,117500,117600,117700,118000,118100,117900,118100,118900,119300,121100,122500,121500,120200,120600,120800,121000,121100,121400,121500,121600,121900,121800,121800,122200,122600,122600,123000,123300,123800,124200,124200,124600,125500,125900,126000,126300,126400,126500,126900,127100,127300,127700,127900,127900,128000,128200,128800,129400,129900,130200,130800,131200,131500,132000,132500,132800,133300,133800,134300,134700,135200,135700,136100,136700,137400,138100,138900,139600,140300,141000,141600,141900,142300,143000,143500,143800,144300,144800,145400,145900,146400,146800,147200,147700,148100,148700,149300,149800,150200,150600,150800,151000,151200,151000,150600,150500,150600,150500,150200,150200,150300,150100,149600,149100,148400,148100,148000,147800,147500,147200,146900,146600,146300,146000,146000,145900,145800,145500,145000,144700,144500,144100,143600,143200,142700,141900,141400,141000,140700,140000,139500,139300,138900,138300,138000,137700,137400,137200,137000,136500,136200,136200,136300,136400,136400,136400,136400,136600,136800,137100,137500,137800,138000,138100,138300,138500,138700,138800,139100,139700,140400,140800,141100,141700,142300,142800,143300,143600,144000,145000,145600,145600,145700,145900,146200,146500,146600
"New Jersey",157900,157600,157300,157300,157100,156700,156200,156100,156200,156600,157000,157400,157800,157900,158000,157800,157800,158100,158600,159000,159400,160400,161700,162800,163500,163800,164000,164500,165100,165500,166100,166800,167700,169000,170400,171500,172400,173500,174800,176200,177600,179200,180700,182300,183800,185600,187500,189300,191000,192900,194900,196700,198400,200300,202600,204700,207100,209800,212100,214200,216700,219400,221800,224300,227100,230300,233300,236300,238900,241100,243600,246400,249500,252900,256400,260100,264100,267700,270800,274300,278000,281500,285000,288300,291400,294400,297600,301200,304800,308100,311400,314800,318100,321400,324600,327800,331600,335900,340300,344700,349300,353800,358300,362800,367100,371200,375400,380000,384500,388800,393000,396700,399800,402900,405700,408100,409900,411400,412800,414100,414900,415100,415000,414200,413000,411600,410000,408000,406100,404400,402900,402000,401300,400100,398500,396700,394700,392600,390600,389000,387600,385700,383500,381100,378500,375900,373000,370300,367700,365100,362500,359900,357600,356600,355700,353700,351300,349300,347600,346200,345400,345300,345300,345200,345400,345800,345900,345300,344800,344300,343700,342800,341600,340200,338900,337600,335800,333900,331900,329700,327700,325900,324000,322000,320400,318800,317300,315700,313900,312400,311200,310200,309600,309300,309100,309300,310000,310500,310800,310800,310600,310500,311000,311900,312500,313200,314200,315500,316600,317500,319200,320900,322300,323300,324100,326000,327900,329800,332300,334600,335100,335800,336500,337000
"Virginia",110500,110600,110700,110500,110300,110300,110400,110500,110400,110600,110800,111100,111200,111200,111100,111100,111300,111800,112200,112400,112600,113200,113800,114200,114400,114600,114700,115000,115200,115400,115700,116200,116700,117100,117600,118100,118500,119000,119800,120400,120800,121200,121600,122100,122700,123300,123900,124400,125000,125700,126400,126900,127500,128100,128700,129400,130200,131200,132100,132800,133800,134700,135400,136200,136800,137300,137900,138800,139700,140600,141500,142400,143400,144400,145100,145800,146600,147600,148500,149400,150300,151400,152600,153800,154900,156000,157300,158900,160500,162200,163800,165600,167500,169400,171300,173500,175700,177900,180500,183300,186400,189900,193300,196200,199300,202800,206200,209400,212500,215600,219100,222700,226400,229700,232500,235200,237500,239000,240000,241400,243000,244300,245400,246500,247200,247600,247900,248300,248700,249000,249600,250200,250700,251100,251100,250700,249800,248900,248300,247800,246900,245900,244800,243500,242100,240700,239000,237300,235600,234000,232500,230600,228800,227500,226600,225400,224500,223600,222800,221800,221100,220600,220200,220100,219900,219700,219400,219000,218400,218100,217800,217200,216500,215900,215100,214300,213600,212700,211800,210900,209900,209000,208300,207600,207000,206400,205900,205500,205100,204800,204400,204100,204100,204200,203900,203600,203700,203800,203700,203500,203500,203600,203900,204600,205400,206100,207000,208400,209500,210500,211600,212600,213900,215600,217000,217900,218500,218900,219200,219800,220300,220900,221700,222500
"Washington",140400,140300,140200,140400,140400,140500,140800,141300,142100,143000,143700,144400,145000,145800,146700,147700,148700,149600,150400,151100,152000,152900,153900,154800,155800,156800,157600,158500,159800,161000,161800,162600,163600,164700,165900,166900,167700,168600,169500,170200,170900,171700,172600,173800,174800,175900,177000,178100,179100,180200,181000,181600,182600,183500,183900,184200,184900,185700,186400,187200,187900,188500,189200,189800,190300,191100,192100,193100,193700,194400,195400,196400,197000,197300,198100,199000,199700,200400,201300,202400,203700,204800,205800,206700,207700,208700,209600,210500,211700,213000,214400,215600,216900,218500,220300,222300,224600,227100,229700,232400,234900,237300,240000,243200,246400,249500,252400,255500,259100,263300,267700,272200,276500,281000,285400,289500,293400,297100,300800,304500,307800,311100,314400,317200,319500,321800,323700,325300,326500,327500,328500,329400,330100,330200,330100,329900,329600,328500,326900,325000,323000,320400,317800,315800,313700,311000,307800,304900,302500,300200,297200,293600,290700,289100,287500,284700,281600,278900,276600,274700,273200,272100,271400,271100,270500,269400,268200,267100,265900,264300,262200,259800,257300,254800,252800,251200,249500,247700,245600,243100,240700,238800,236800,235100,233400,231900,230800,230100,229400,229100,229300,230000,231000,232200,233700,234900,235800,237000,238300,239900,241500,243100,244700,246500,248500,251200,254700,258400,261700,264500,266500,267700,269200,270800,272000,273700,276200,278100,279300,280500,282000,283200,284600,286200
"Massachusetts",137400,137500,137500,137700,137800,137900,138100,138500,139200,140000,140900,141600,142100,142800,143400,143900,144500,145000,145800,146700,147800,149100,150600,151900,152900,153900,154900,156100,157300,158600,159700,160800,162000,163400,165000,166600,168400,170400,172400,174200,176200,178200,180300,182500,184600,186800,189300,191900,194500,197600,201000,204100,207400,210800,214200,217400,220400,223500,226500,229500,232400,235500,238600,241700,244900,247900,250700,253500,256000,258400,260900,263700,266300,268700,271500,274900,278100,281400,284700,288200,291700,295200,298100,300700,303100,305000,306700,308700,310700,312500,314400,316600,318600,320800,323200,325700,328400,331400,334300,336800,339200,341500,343700,345800,347900,349900,352100,354400,356400,357800,358800,359300,359500,359400,359100,358500,357500,356200,354900,353700,352400,350800,348500,346000,343800,341600,339400,337700,336200,335200,334500,334100,333300,332100,330700,329100,327600,326300,325000,323700,322300,320700,318600,315700,312500,310000,308100,306700,305000,303000,301200,299000,297200,296100,295000,293700,292700,292500,292800,293200,293800,294600,295400,296100,296600,296600,296100,295900,295800,295800,295500,295000,294500,293900,293100,292500,291700,290700,289900,289600,289100,288100,287100,286100,285400,284800,284100,283500,283300,283100,283100,283500,284400,285300,286100,287100,288200,289000,290000,291100,292300,293700,295800,297800,299700,301900,304700,307600,310200,312200,313700,315400,317600,319400,320400,321300,322500,324200,326000,327000,327900,329400,331700,333500
"Indiana",73900,76200,77400,77700,77500,77400,77400,77600,78000,78500,79400,80100,80000,79900,80200,80900,81900,82900,83800,84800,85300,85600,85900,86200,86100,86200,86500,86700,87100,87300,87500,88000,88100,87800,88000,88600,89000,89300,89500,89900,90300,90600,90800,91200,91400,91500,91800,92400,92700,93200,93600,93800,94000,94000,94400,94800,95700,97300,98900,99800,100600,101300,102000,102500,103100,103500,103900,104200,104100,103900,104000,104100,104000,103800,103700,103600,103500,103900,103800,103100,102300,102100,102100,102200,102400,102500,102600,103000,103700,104500,105300,105900,107600,110200,111800,111900,112200,112800,113500,114500,115600,116500,117300,118000,119200,120400,121100,121600,122500,123100,123700,124300,124600,124600,124800,125200,124900,123700,122900,122900,122900,122800,122600,122300,122200,122400,122700,123200,123300,122800,122600,122900,123000,123300,123800,124000,123800,123500,123300,123400,123500,123500,123600,123600,123500,123600,123500,123200,122700,122000,121200,120600,120000,119500,119000,118200,117300,116600,116000,115700,115800,115900,115700,115500,115500,115500,115600,115500,115400,115300,115300,115100,114800,114500,114300,113900,113200,112700,112500,112200,111800,111300,110900,110500,110600,110500,110100,109400,109100,109200,109400,109300,109200,109400,109600,109800,110100,110400,111100,112200,112700,112700,113000,113100,113400,114100,114800,115100,115300,115400,115300,115100,115100,115300,115100,116300,118100,118600,117600,117100,116800,116800,117000,117400
"Arizona",103400,103800,104200,104600,104600,104600,105000,105300,105500,105900,106500,107000,107400,107700,108000,108200,108300,108600,109100,109600,110100,110500,110900,111400,111900,112500,113200,113700,114200,114600,114800,115300,115900,116600,117300,118000,118500,118900,119300,119800,120400,120900,121500,122200,123000,123900,124800,125600,126300,126900,127300,127800,128500,129200,129500,129900,130400,131000,131500,131900,132200,132500,132800,133200,133500,133900,134400,135000,135900,136700,137200,137800,138500,139100,139700,140300,140900,141600,142400,143000,143600,144300,145300,146300,146900,147400,148100,149000,150000,151000,152000,153100,154000,155100,156400,157700,159100,160600,162400,164700,167500,170900,174800,179300,183900,188300,193200,199300,206700,214900,223200,231500,238800,245300,250900,255700,259200,261700,263600,264800,265100,264900,264400,263300,261800,260200,258400,256500,254500,252400,250300,248500,246700,245000,243200,241700,240100,238500,236600,234500,231700,228100,224000,219800,215700,212200,208600,204900,201400,197700,193700,189400,186400,185000,183300,180300,177400,174300,171200,168300,166000,164000,162400,160900,159900,159200,158400,157100,155900,154500,152500,150200,147800,145500,143400,141700,140100,139300,139400,139800,139300,138200,137200,136400,135600,135200,135300,136200,137400,138600,139800,141300,142900,144800,147000,149500,152100,155000,157800,159800,161200,162200,163400,165200,167700,170700,174000,177100,179800,181100,181800,182900,183800,183500,183300,183500,183900,184400,184800,185100,185600,186600,187900,189000
"Tennessee",76400,76700,77200,77600,77900,78200,78500,78800,79000,79300,79700,80100,80400,80600,80900,81200,81400,81800,82400,82800,83100,83800,84600,85000,85400,85900,86300,86700,87200,87800,88100,88400,88800,89300,89700,89800,90000,90400,90600,90800,91200,91300,91300,91700,92100,92400,92600,92900,93200,93500,93700,94000,94400,94400,94500,94700,94900,95200,95500,95800,96200,96300,96400,96600,96700,96900,97100,97500,97700,98200,98500,98800,99000,99300,99700,100000,100200,100400,100700,101100,101500,101700,101800,102200,102600,102900,103200,103700,104200,104700,105200,105500,105900,106300,106800,107300,107800,108400,109000,109400,110000,110800,111500,112100,112800,113200,113600,114300,115200,115900,116600,117400,118300,119000,119800,120500,121000,121700,122400,122900,123400,124100,124700,125300,125700,126100,126800,127400,127800,128200,128500,128700,128800,128900,129200,129300,129300,129200,129100,129100,128700,128200,128000,127900,127500,127300,127200,127000,126800,126500,126100,125500,125700,126600,127200,127200,127200,127100,127000,127000,127000,127000,126800,126700,126600,126600,126600,126500,126500,126300,125900,125500,125200,125100,124800,124200,124000,123800,123300,122700,122500,122300,122100,121700,121400,121100,121000,121200,121100,121000,120900,121000,121000,121100,121200,121500,121600,121800,122100,122500,122500,122500,122600,122900,123100,123400,123800,124300,124800,125300,125600,126100,126600,126700,126800,127200,127600,128000,128500,128900,129300,129800,130200,130700
